time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c,speaker_gender,listener_gender
38203,BOAT,1,1,0.762413,0,0.678324,0.874508,0.646191,0.818842,0,0.923515,1.87297,1.37636,0,0.595534,1.9497,0.698911,0,0,1,0,0,0,0,w,w
38238,BOAT,1,1,0.851837,0,0,0.664542,0,0,0,0,0.720314,0.8789,0.618818,0,1.33963,1.63008,0,0,1,1,0,0,0,w,w
38245,BOAT,1,1,0.956307,0,0,1.30219,0,0.587974,1.75859,0.708458,1.16776,1.11304,1.59967,0,1.13599,2.08413,0,0,1,1,0,0,1,w,w
