time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c,speaker_gender,listener_gender
4639,TUESDAY,1,1,0.958121,0,0.501354,1.51599,0.585015,0,0.573931,0,0,0,0.532595,0.681047,0,0,0,0,0,0,0,0,0,w,w
4640,TUESDAY,1,1,0.957034,0,0,1.39838,0,0,0,0,0,0.535646,0,0.746796,0.522994,0,0,0,0,0,0,0,0,w,w
4646,TUESDAY,1,1,0.963696,0,0,1.42217,0.579907,0,0,0,0,0.629564,0,0.667876,0,0,0,0,0,0,0,0,0,w,w
4647,TUESDAY,1,1,0.961469,0,0,1.3635,0.516797,0,0,0,0,0.589671,0.535608,0.690487,0,0,0,0,0,0,0,0,0,w,w
4648,TUESDAY,1,1,0.950774,0,0,1.34355,0,0,0,0,0,0.56595,0.501256,0.730788,0,0,0,0,0,0,0,0,0,w,w
1837,TUESDAY,1,1,0.978791,1.31836,0,0,0.579313,0,0.702931,0,0.620124,0,0.892026,0,0,0,0,0,0,0,0,0,0,w,m
1838,TUESDAY,1,1,0.976434,1.1365,0,0,0.611724,0,0,0,0.62995,0,1.03815,0,0,0,0,0,0,0,0,0,0,w,m
1839,TUESDAY,1,1,0.976176,1.0384,0,0,0,0,0.661837,0,0.561458,0,0.840456,0,0,0,0,0,0,0,0,0,0,w,m
1840,TUESDAY,1,1,0.96356,0.682921,0,0,0,0,0.747442,0,0,0,0.767328,0,0,0,0,0,0,0,0,0,0,w,m
1841,TUESDAY,1,1,0.944288,0,0,0,0.712536,0,1.0451,0,0,0.575861,0.846133,0,0,0,0,0,0,0,0,0,0,w,m
