time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c,speaker_gender,listener_gender
25635,TIRED,1,1,0.98814,0,1.18893,1.31513,0,0,1.29388,0,0,1.16868,0,0,0,1.46986,0,0,1,0,0,0,0,m,m
25636,TIRED,1,1,0.990546,0,0.953584,0.976389,0,0,0.563598,0,0,0.848678,0,0,0,2.52548,0,1,1,0,0,0,0,m,m
25637,TIRED,1,1,0.986522,0.690338,0.889908,0,0,0,0,0,0,0.896809,0,0,0,2.5589,0,1,1,0,1,0,0,m,m
25638,TIRED,1,1,0.981002,0.821432,0.660736,0.591772,0,0,0,0,0.538081,0.987069,0,0,0,2.4529,0,1,1,0,1,0,0,m,m
25639,TIRED,1,1,0.947689,0.849045,0.682727,0.74078,0,0,0,0,0.932496,0.895148,0.611321,0,0.528642,2.05237,0,1,1,0,0,0,0,m,m
25640,TIRED,1,1,0.953782,0.752416,0.55339,0.684478,0,0,0,0,0.776885,1.11459,0.716135,0,0.669191,2.02173,0,1,1,0,0,0,0,m,m
25641,TIRED,1,1,0.94409,0,0.524105,0.548648,0,0,0,0.558948,0.762818,1.25034,0,0,0.967883,2.4358,0,1,1,0,1,0,0,m,m
25642,TIRED,1,1,0.939675,0,0.682963,0.643396,0,0,0,0,0.560761,1.15559,0.547358,0,0,1.86833,0,1,0,0,1,0,0,m,m
25643,TIRED,1,1,0.962175,0,0,0,0,0,0,0.599587,0,0.826428,0,0,0,1.49196,0,1,0,0,1,0,0,m,m
25644,TIRED,1,1,0.969961,1.02002,0,1.22091,0,0,0.668534,0,0,1.0347,0,0,0,0,0,1,0,0,1,0,0,m,m
25645,TIRED,1,1,0.955851,1.58192,0,1.18291,0,0,0.598131,0,0,1.23271,0,0.573909,0,0,0,1,0,0,1,0,0,m,m
25646,TIRED,1,1,0.933642,1.76093,0,1.13148,0,0,1.0609,0,0,0.889788,0,0,0,0,0,1,0,0,1,0,0,m,m
41466,TIRED,1,1,0.980221,0.857353,0.692209,0,0,0,0.94359,0,0,0,1.15126,0,0,1.38827,0.800606,0,0,1,0,0,1,m,m
41467,TIRED,1,1,0.986497,0.599021,0.940162,0,0,0,0.842258,0.521133,0,0,1.15312,0,0.594117,2.03363,0.652427,0,1,1,0,0,1,m,m
41468,TIRED,1,1,0.991313,0.504855,0,0,0,0,0.824563,0,0,0.737891,0.976427,0.519767,0.987545,1.38774,0,0,1,1,1,0,0,m,m
41469,TIRED,1,1,0.992663,0,0,0,0,0,0.878295,0.571284,0,1.05662,1.04635,0.641743,1.20093,0.661434,0,0,1,1,0,0,0,m,m
