time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c,speaker_gender,listener_gender
12739,PT:POSS2SG,1,1,0.93828,0,1.68246,0,0,0,0,0.54155,1.15682,1.86363,0,0,3.03083,1.05538,0,0,0,1,0,0,0,w,m
12740,PT:POSS2SG,1,1,0.932739,0.979635,2.74409,0,0,0,0,0.807656,1.34997,1.78606,0,0.50936,2.69618,1.15181,0,0,1,0,0,0,0,w,m
12741,PT:POSS2SG,1,1,0.942971,1.03571,2.73194,0,0,0.641572,0,0.897327,1.43798,2.18048,0,0.792731,3.07294,1.14673,0,0,1,1,0,0,0,w,m
12742,PT:POSS2SG,1,1,0.965551,0.767623,2.26127,0,0,0.635254,0,0.928949,1.26828,2.356,0,0.854609,3.10766,0.557754,0,0,1,1,0,0,0,w,m
12743,PT:POSS2SG,1,1,0.965401,0.723318,2.28195,0,0.757621,0,0,0.749601,1.03574,2.30053,0,0.765578,3.08793,0,0,0,0,1,0,0,0,w,m
12753,PT:POSS2SG,1,1,0.966126,0,2.10702,0,0.599107,0.545011,0,0.796248,1.31945,1.67455,0,0.681195,2.90443,1.58756,0,0,1,1,0,0,0,w,m
12754,PT:POSS2SG,1,1,0.975637,0,1.80379,0,0,0.627775,0,0.887621,1.10942,1.28484,0,0.580847,2.41608,1.77326,0,0,1,1,0,0,0,w,m
12755,PT:POSS2SG,1,1,0.978653,0,1.95416,0,0.505574,0.708945,0,1.01157,0.835235,1.02668,0.575358,0,1.77212,1.96193,0,0,1,1,0,0,0,w,m
12756,PT:POSS2SG,1,1,0.984293,0,1.7899,0,0,0.686988,0,1.00295,1.0184,1.56167,0.679779,0,1.25996,2.19719,0,1,1,1,0,0,0,w,m
12757,PT:POSS2SG,1,1,0.984344,0,1.64648,0,0,0.878762,0,1.26077,1.27053,1.66843,0.659668,0,1.2225,2.32809,0,1,1,1,0,0,0,w,m
12758,PT:POSS2SG,1,1,0.98133,0,2.25997,0,0,0.783723,0,1.13582,1.31055,1.82385,0.615861,0,1.31417,2.44517,0,1,1,1,0,0,0,w,m
12759,PT:POSS2SG,1,1,0.967673,0,2.36297,0,0,0.677585,0,1.02727,1.30297,2.12972,0,0,1.37353,2.49387,0,1,1,1,0,0,0,w,m
12760,PT:POSS2SG,1,1,0.96252,0,1.89001,0,0.571194,0,0,0,0.655097,2.0966,0,0,1.48383,1.55351,0,1,0,1,0,0,0,w,m
12761,PT:POSS2SG,1,1,0.884592,0.820725,1.82518,0,0.858855,0,0,0,0,0.935541,1.13485,0,0,1.20316,0,1,0,0,0,0,0,w,m
12762,PT:POSS2SG,1,1,0.752499,1.429,1.29112,0,1.03501,0,0,0,0.615035,0,0.963468,0,0,0,0,1,0,0,0,0,0,w,m
12780,PT:POSS2SG,1,1,0.915895,1.3788,2.88209,0,0.851077,0,0,0.630549,1.25598,1.69031,0,0.877281,2.93276,0,0,0,0,1,1,0,0,w,m
12789,PT:POSS2SG,1,1,0.968402,0,0.922999,0,0,0,0,0,0.52855,0.549801,0,0,1.83941,0,0,0,0,1,0,0,1,w,m
12790,PT:POSS2SG,1,1,0.974668,0,1.04965,0,0,0,0,0,0.535192,0,0,0,2.08266,0,0,0,0,1,0,0,1,w,m
39237,PT:POSS2SG,1,1,0.977736,0.895515,0,1.86634,0,0,2.27934,0,0,0.703373,0.789019,0,0,0,0.616098,1,0,1,0,0,1,m,m
39238,PT:POSS2SG,1,1,0.975658,0.880134,0,1.8431,0,0,2.24033,0,0,0.637587,0.78225,0,0,0.910825,0.523197,1,0,1,0,0,0,m,m
39239,PT:POSS2SG,1,1,0.969032,0.922528,0,1.4789,0,0,1.1594,0,0,0.699502,1.01089,0,0,1.49415,0,1,0,1,0,0,0,m,m
39240,PT:POSS2SG,1,1,0.966923,0.863737,0,1.63619,0,0,1.41129,0,0,0.878589,1.43637,0,0,2.09279,0,1,0,1,0,0,0,m,m
39241,PT:POSS2SG,1,1,0.967028,0.627431,0,1.51128,0,0,1.41964,0,0,1.1494,1.41475,0.510616,0,2.04168,0,1,0,1,0,0,0,m,m
39242,PT:POSS2SG,1,1,0.969563,0.752649,0,1.19872,0,0,0.915582,0,0,0.90493,1.45409,0.526716,0,2.29685,0.607063,1,0,1,0,0,0,m,m
39243,PT:POSS2SG,1,1,0.953037,0.791721,0,1.14545,0,0,0.744104,0,0,1.1533,1.96258,0,0.75649,0.686885,0,0,0,1,0,0,0,m,m
39244,PT:POSS2SG,1,1,0.961741,1.12997,0,1.02707,0,0,0.897437,0,0,1.14061,1.58102,0,0,0.851661,0,0,1,1,0,0,0,m,m
39245,PT:POSS2SG,1,1,0.946004,0.898986,0,0,0,0,0,0,0,0.613952,1.01399,0.992968,0.672693,0,0,0,1,1,1,0,0,m,m
39246,PT:POSS2SG,1,1,0.972133,0.934324,0,0,0,0,0.856944,0,0,1.37056,1.47085,1.15596,1.50873,0.635834,0,0,1,1,1,0,0,m,m
39247,PT:POSS2SG,1,1,0.975382,1.05656,0,0,0,0,1.5586,0,0,1.18905,1.17124,0.905137,0.701903,0,0,0,1,1,1,0,0,m,m
39248,PT:POSS2SG,1,1,0.979617,1.8652,0.831046,1.37854,0,0,2.49587,0,0,1.14047,1.18471,0,0,1.71907,0,0,1,1,0,0,0,m,m
39249,PT:POSS2SG,1,1,0.987426,1.43839,1.0176,1.37991,0,0,3.14694,0.715123,0,1.00331,0.778217,0,0,0.926355,0,1,1,1,1,0,0,m,m
39250,PT:POSS2SG,1,1,0.98899,1.30837,1.11534,1.75284,0,0,2.50327,0.808331,0,0.819208,0,0.565718,0.75854,0,0,1,0,1,0,0,0,m,m
39251,PT:POSS2SG,1,1,0.986016,1.21701,1.51431,0.853265,0,0,2.27043,0.760556,0,0.768565,0,0,1.40559,0,0,1,0,1,0,0,0,m,m
39270,PT:POSS2SG,1,1,0.976758,0.626719,0,1.42323,0,0,0.673668,1.00035,0.579728,1.17436,1.27976,0,0,0,0,1,1,1,0,0,0,m,m
39271,PT:POSS2SG,1,1,0.985055,0.531905,0,1.226,0,0.532607,0.811974,1.07213,0.543746,1.34095,1.28051,0,0,0,0,1,1,1,0,0,0,m,m
39272,PT:POSS2SG,1,1,0.983781,0.86816,0,1.31617,0,0,0.970023,0.941449,0.728047,0.898317,1.00878,0,0,0,0,0,1,1,0,0,0,m,m
39273,PT:POSS2SG,1,1,0.983532,0.804461,0,1.40315,0,0,1.10108,0.922474,0.638662,0.951862,1.04231,0,0,0,0,1,1,1,1,0,0,m,m
39274,PT:POSS2SG,1,1,0.986415,1.10517,0,1.61331,0,0,1.51691,0.925821,0.663067,0.88242,0.932189,0,0,0,0,1,1,1,1,0,0,m,m
23776,PT:POSS2SG,1,1,0.91752,0,1.50153,0.689966,0.554684,0,0,0,0,1.31992,0,0.564059,1.2597,1.00556,0,1,0,0,0,0,1,m,m
23777,PT:POSS2SG,1,1,0.913708,0,1.51593,0.69768,0.545583,0,0,0.582076,0,1.50019,0,0,1.36291,0.880006,0,1,0,0,0,0,1,m,m
23778,PT:POSS2SG,1,1,0.915869,0,1.31222,0.758311,0,0,0,0.624489,0,1.56338,0,0.516941,1.03063,0.981577,0,1,0,0,0,0,1,m,m
23779,PT:POSS2SG,1,1,0.916941,0,1.46746,0.683973,0,0,0,0.640503,0,1.96947,0,0.514878,1.2591,0.836993,0,1,0,0,0,0,0,m,m
23780,PT:POSS2SG,1,1,0.920629,0,1.5001,0.879502,0,0,0,0.631822,0,1.97884,0,0,1.05706,0.734686,0,1,0,0,0,0,0,m,m
23781,PT:POSS2SG,1,1,0.901835,0,1.40882,0.884294,0,0,0,0.670656,0,2.31169,0,0,1.39708,0.698034,0,1,0,0,0,0,0,m,m
23782,PT:POSS2SG,1,1,0.877691,0,1.15839,1.17469,0.590793,0.507555,0,0.721077,0.766221,2.11385,0,0,0.984893,1.04384,0,1,0,0,0,0,0,m,m
23783,PT:POSS2SG,1,1,0.911991,0,1.45102,0,0,0.684563,0,1.2794,0.811543,1.33757,0,0.563019,0.513883,1.69586,0,1,1,0,0,0,0,m,m
23784,PT:POSS2SG,1,1,0.871069,0,2.05003,0.773324,0,0.705354,0,1.04343,0.832101,2.04948,0,0.572911,0.979431,1.80352,0,1,0,0,0,0,0,m,m
23785,PT:POSS2SG,1,1,0.805298,0,1.89521,1.15904,0.671277,0.712715,0,1.09758,0.826737,2.93432,0,0,0.935517,0.562261,0,1,0,0,0,0,0,m,m
23786,PT:POSS2SG,1,1,0.778885,0,1.48078,1.35328,1.41174,0.698167,0,1.07662,1.19637,2.95996,0,0,0.542294,0,0,1,0,0,0,0,0,m,m
23788,PT:POSS2SG,1,1,0.757796,0,1.35633,2.4715,1.28596,0.80095,0.871964,1.09984,1.6238,3.42828,0,0.72502,0.94021,0,0,1,0,0,0,0,0,m,m
23789,PT:POSS2SG,1,1,0.782277,0,1.15702,2.45134,1.43065,0.916319,0,1.12882,1.5875,2.96764,0,0.698786,1.15128,0,0,1,0,0,0,0,0,m,m
23790,PT:POSS2SG,1,1,0.767079,0,1.36633,2.53558,1.39552,0.77767,0,0.922311,1.48226,2.36489,0,0.617467,1.11638,0,0,1,0,0,0,0,0,m,m
23791,PT:POSS2SG,1,1,0.740586,0,1.4554,2.83042,1.66742,0.824981,0,0.903007,1.57375,2.51093,0,0.615701,1.36815,0,0,1,0,0,0,0,0,m,m
23792,PT:POSS2SG,1,1,0.832733,0,1.49804,2.75831,1.46294,0.763117,0,0.805067,1.58127,2.59898,0,0.719618,1.36298,0,0,1,0,0,0,0,0,m,m
23793,PT:POSS2SG,1,1,0.860074,0,1.72148,2.72125,1.35487,0.743387,0,0.769175,1.32811,2.84685,0,0.634253,0.892475,0,0,1,0,1,0,0,0,m,m
23794,PT:POSS2SG,1,1,0.879518,0,2.3061,2.47764,1.04317,0.751803,0,0.87092,1.32596,2.95107,0,0.656533,0.722516,0,0,1,0,1,0,0,0,m,m
23795,PT:POSS2SG,1,1,0.872933,0,2.20819,2.09455,0.951961,0.852457,0,1.0159,1.21837,2.99402,0,0.587644,0.630877,0,0,1,0,1,0,0,0,m,m
23796,PT:POSS2SG,1,1,0.887205,0,2.01294,2.22637,0.89132,0.761041,0,0.974682,1.14184,2.744,0,0,0,0,0,1,0,1,0,0,0,m,m
23797,PT:POSS2SG,1,1,0.885702,0,1.95197,2.21466,0.712704,0.765179,0,1.05995,1.259,2.99617,0,0,0,0,0,1,0,1,0,0,0,m,m
23798,PT:POSS2SG,1,1,0.914057,0,1.63859,1.93851,0,0.637896,0.60184,0.94079,0.851743,2.87777,0,0,0,0.563583,0,1,0,1,0,0,0,m,m
23799,PT:POSS2SG,1,1,0.931934,0,1.80318,1.91724,0,0.54288,0,0.868152,0.676534,2.54316,0,0,0,0.534115,0,1,0,1,0,0,0,m,m
23800,PT:POSS2SG,1,1,0.948706,0,1.78961,1.81015,0.573259,0,0,0.736743,0.825569,2.35176,0,0,0.686909,0,0,1,0,1,0,0,0,m,m
23801,PT:POSS2SG,1,1,0.942814,0,1.94781,1.1934,0,0.660377,0,0.99895,1.12046,2.90571,0,0.538303,0,1.0856,0,1,1,1,0,0,0,m,m
23802,PT:POSS2SG,1,1,0.901705,0,2.15616,0,0,0.543484,0,0.984625,0.64778,2.23103,0,0.792669,0,1.45674,0,1,0,0,0,0,0,m,m
23803,PT:POSS2SG,1,1,0.845304,0,1.99376,0,0.629816,0.507548,0.528621,0.982271,1.13617,1.36953,0.584801,0,0,3.14237,0,1,1,0,1,0,1,m,m
23804,PT:POSS2SG,1,1,0.754092,1.47732,2.67305,0.918616,0,0.502756,0.561837,0.651925,1.1887,0.868734,0,0,0,1.81796,0,1,0,0,1,0,0,m,m
23805,PT:POSS2SG,1,1,0.943563,0.514422,1.31033,0,0,0.713164,0,0.912655,1.21161,1.4017,0,0,1.29546,2.66054,0,1,0,0,1,0,0,m,m
23810,PT:POSS2SG,1,1,0.749653,1.59718,3.23141,0,0.941336,0,0,0.567252,0,0,0,0.644314,1.65788,0,0,1,0,1,1,0,0,m,m
23815,PT:POSS2SG,1,1,0.725156,1.27273,2.07134,0,0.942357,0,0,0,0,0,1.10828,1.05475,1.5619,0,0,1,0,1,1,0,0,m,m
7170,PT:POSS2SG,1,1,0.970693,1.57087,0.5833,0.899774,0.537909,0,0,0,0,1.35948,2.41476,0.733842,0,3.86851,0,0,0,1,0,0,0,m,m
7171,PT:POSS2SG,1,1,0.978921,2.29823,1.66968,1.62272,1.00115,0.673442,0,0.717671,1.02151,1.83831,1.81979,0.80763,0,2.19558,0,0,0,1,1,0,0,m,m
7172,PT:POSS2SG,1,1,0.974961,1.99073,2.21314,1.25136,0.915953,0.920934,0,0.867605,1.39012,2.28579,1.19168,0.916553,0.556249,1.42884,0,0,1,1,1,0,0,m,m
7173,PT:POSS2SG,1,1,0.979194,1.63378,1.69484,1.18627,0,0.81924,0,0.797831,0.996002,2.27763,0.896504,0.884555,0,2.13135,0,0,0,1,1,0,0,m,m
7174,PT:POSS2SG,1,1,0.976866,0.734787,1.0679,1.47346,0,0,0,0,0.638198,2.23408,1.0427,0.612063,0,2.78153,0,1,0,1,1,0,0,m,m
7175,PT:POSS2SG,1,1,0.975592,0.557806,1.04973,0.950394,0,0,0,0,0,2.03027,0,0.519647,0,3.08484,0,1,0,1,1,0,0,m,m
7176,PT:POSS2SG,1,1,0.974193,0,0,1.06365,0,0,0.722664,0,0,1.67828,0.604877,0,0,2.80666,0,1,0,1,1,0,0,m,m
7177,PT:POSS2SG,1,1,0.971683,0.990475,0.994677,1.00263,0,0,0,0,0,1.76814,0.692036,0,0,3.6329,0,0,0,1,0,0,0,m,m
7178,PT:POSS2SG,1,1,0.964763,1.34123,0.972395,1.39963,0,0.534473,0.779271,0.516593,0,1.78705,0.892294,0,0,3.81192,0,0,0,1,0,0,0,m,m
7179,PT:POSS2SG,1,1,0.955754,1.81396,1.65699,1.79621,0,0.725665,0.958153,0.752343,0.715848,2.02974,0,0.642834,0,3.42891,0,0,0,0,0,0,0,m,m
7180,PT:POSS2SG,1,1,0.966093,1.46599,1.49244,1.44147,0.535625,0.608953,0.983354,0.606534,0,1.38866,0,0.548299,0,3.92043,0,0,0,0,0,0,0,m,m
7181,PT:POSS2SG,1,1,0.97698,1.1045,1.5116,1.73324,0,0.596945,1.56753,0.68209,0,1.81527,0,0.519643,0,3.79176,0,1,0,0,0,0,0,m,m
7182,PT:POSS2SG,1,1,0.974403,0.62709,1.20661,1.53624,0,0,1.55512,0,0,1.48153,0,0,0,3.19542,0,1,0,0,0,0,0,m,m
7183,PT:POSS2SG,1,1,0.965224,0,0,1.6166,0,0,1.58894,0,0,1.61462,0,0,0.813228,2.69496,0,1,0,0,0,0,0,m,m
7184,PT:POSS2SG,1,1,0.941775,0,0,1.3257,0,0,1.83876,0,0,1.42095,0,0,0.997124,2.83869,0,1,0,0,1,0,0,m,m
7185,PT:POSS2SG,1,1,0.970663,0,0,1.68072,0,0,2.40761,0,0,1.65809,0,0,0.773352,2.56106,0,1,0,0,1,0,0,m,m
7186,PT:POSS2SG,1,1,0.984955,0,0,1.85902,0,0,2.50252,0.531391,0,1.67876,0,0,0,2.99821,0,0,1,0,1,0,0,m,m
7187,PT:POSS2SG,1,1,0.98814,0,0,1.61984,0,0.546107,1.43837,0.706278,0,1.70048,0.710986,0,0,2.88776,0,0,1,1,1,0,0,m,m
7188,PT:POSS2SG,1,1,0.981263,0,0,2.0357,0.824487,0.651211,0,0.699938,0.835004,1.67713,1.01474,0,0,3.54483,0,0,1,1,1,0,0,m,m
7189,PT:POSS2SG,1,1,0.969672,1.21408,1.06301,1.7576,0.845201,0.957942,0,1.11258,1.30857,2.51972,1.53332,0.933565,0,3.16453,0,0,1,1,0,0,0,m,m
7190,PT:POSS2SG,1,1,0.953503,0.880463,0.689292,2.05892,0.740315,0.94252,0,1.04656,1.63325,2.5926,1.21179,1.08794,0,3.73785,0,0,1,1,1,0,0,m,m
7191,PT:POSS2SG,1,1,0.97289,0,0,1.59496,0,1.02974,0,1.01994,1.33836,2.59717,0.656117,0.728986,0,4.07117,0,0,1,1,1,0,0,m,m
7192,PT:POSS2SG,1,1,0.957562,0,0,1.1716,0.597998,0.81493,0,0,1.00638,2.34914,0,0.729946,0.744562,3.63221,0,1,1,0,1,0,0,m,m
7193,PT:POSS2SG,1,1,0.938494,0,0,1.09328,0.905393,0.77552,0,0.611958,0.738519,2.41916,0,0.859636,0.804053,3.38846,0,1,1,0,1,1,0,m,m
7194,PT:POSS2SG,1,1,0.976683,0,0,1.02911,0.744133,0.791162,0.802296,0.61552,0.808956,2.3159,0,0.742294,0.711492,2.92454,0,0,1,0,1,0,0,m,m
7195,PT:POSS2SG,1,1,0.9832,0,0,1.15784,0.663914,0.891563,1.24174,0.823971,0.917012,2.62544,0,1.04132,0.752225,2.868,0,0,1,0,1,0,0,m,m
7196,PT:POSS2SG,1,1,0.987683,0,0,1.57322,0.647611,0.883819,1.49889,0.95234,0.932277,2.55822,0,1.00214,0.632256,2.61186,0,0,1,0,1,0,0,m,m
7197,PT:POSS2SG,1,1,0.986252,0,0,1.04829,0.642473,0.882019,1.71995,0.985714,0.724422,2.72597,0,1.16591,0.671326,2.64695,0,0,1,0,1,0,0,m,m
7198,PT:POSS2SG,1,1,0.984962,0,0,1.4802,0,0.522479,1.79523,0.640403,0,2.18774,0,0.887985,0,2.27184,0,1,1,1,1,0,0,m,m
7199,PT:POSS2SG,1,1,0.964965,0,0,1.27178,0,0,1.18873,0,0,1.39233,0,0,0.659386,3.68057,0,1,0,0,1,0,0,m,m
7200,PT:POSS2SG,1,1,0.942373,0.61758,0,0.690512,0,0,0.670697,0,0,0.535825,0,0,0,3.48302,0.820315,0,0,0,0,0,1,m,m
7201,PT:POSS2SG,1,1,0.944356,0.654343,0,0.529956,0,0,1.28481,0,0,0.605465,0,0,0,3.61249,0.839659,0,0,0,1,0,1,m,m
7202,PT:POSS2SG,1,1,0.976272,0.649641,0,1.10897,0,0,2.20517,0,0,0.752527,0,0,0,1.67195,0,0,0,0,1,0,1,m,m
