time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c,speaker_gender,listener_gender
4676,THEATRE,1,1,0.987295,0.966272,1.16773,0.524471,0,0,1.17937,0,0,0.598606,0.975144,0,0,0,0,0,0,1,0,0,0,m,m
4677,THEATRE,1,1,0.986903,1.04863,1.2972,0.575013,0.556371,0,1.49523,0,0,0.688003,0.774234,0,0,0,0,0,0,1,0,0,0,m,m
4678,THEATRE,1,1,0.987084,0.937767,1.2456,0.60424,0.554655,0,1.27389,0,0,0.872262,0.950513,0,0,0,0,0,0,1,0,0,0,m,m
4679,THEATRE,1,1,0.98693,1.10651,1.43055,0.688128,0.504315,0,1.42667,0,0,0.934457,0.882203,0,0,0,0,0,0,1,0,0,0,m,m
4680,THEATRE,1,1,0.985809,0.897496,1.16275,0.503685,0,0,1.17131,0,0,1.0494,1.09255,0,0,0,0,0,0,1,0,0,0,m,m
4681,THEATRE,1,1,0.985726,0.87096,1.33907,0,0,0,1.19538,0,0,1.07548,1.34563,0,0,0,0,0,0,1,0,0,0,m,m
4682,THEATRE,1,1,0.98511,1.01243,1.59549,0,0,0,1.29196,0,0,1.08419,1.29417,0,0,0,0,0,0,1,0,0,0,m,m
4683,THEATRE,1,1,0.985893,1.06324,1.47918,0,0,0,1.15739,0,0,1.08673,1.13717,0,0,0,0,0,0,1,0,0,0,m,m
4684,THEATRE,1,1,0.986851,0.98267,1.48651,0,0,0,1.28076,0,0,1.03271,1.25301,0,0,0,0,0,0,1,0,0,0,m,m
4685,THEATRE,1,1,0.987364,0.988058,1.61072,0,0,0,1.3555,0,0,0.977434,1.09265,0,0,0,0,0,0,1,0,0,0,m,m
4686,THEATRE,1,1,0.987614,0.988925,1.3291,0.564749,0.51448,0,1.66125,0,0,0.881048,1.0668,0,0,0,0,0,0,1,0,0,0,m,m
4687,THEATRE,1,1,0.987889,1.07542,1.40873,0.535942,0,0,1.76435,0,0,0.835238,1.02298,0,0,0,0,0,0,1,0,0,0,m,m
4688,THEATRE,1,1,0.985675,0.861517,1.52207,0.523324,0,0,2.02645,0,0,0.989387,1.10791,0,0,0,0,0,0,1,0,0,0,m,m
4689,THEATRE,1,1,0.990717,0,1.16315,0.534214,0,0,2.11468,0,0,1.04394,0.892806,0,0,0,0,0,0,1,1,0,0,m,m
4690,THEATRE,1,1,0.990531,0,1.15257,0,0,0,2.38652,0,0,0.962492,0.809668,0,0,0,0,0,0,1,1,0,0,m,m
4691,THEATRE,1,1,0.990359,0,1.09152,0.677486,0,0,2.28449,0,0,0.953694,0.673538,0,0,0,0,0,0,1,1,0,0,m,m
4692,THEATRE,1,1,0.98958,0,0.981819,0.651732,0,0,2.19334,0,0,0.997736,0.773413,0,0.523087,0,0,0,0,1,1,0,0,m,m
4693,THEATRE,1,1,0.989082,0,1.10255,0.543594,0,0,2.20873,0,0,0.978477,0.507809,0,0.518393,0.558772,0,0,0,1,1,0,0,m,m
4694,THEATRE,1,1,0.987701,0.69952,1.27616,0.593975,0,0,2.19776,0,0,0.868653,0.540474,0,0,0.702087,0,0,0,1,1,0,0,m,m
4695,THEATRE,1,1,0.987368,0.750999,1.45281,0.630112,0,0,2.04851,0,0,0.734731,0,0,0,0.78279,0,0,0,1,1,0,0,m,m
4696,THEATRE,1,1,0.985585,0.677661,1.35525,0.58551,0,0,2.27502,0,0,0,0.684959,0,0,0,0,0,0,1,1,0,0,m,m
4697,THEATRE,1,1,0.974263,0.986502,1.24283,0.897348,0,0,1.98204,0,0,0,0.582569,0,0,0.790176,0,0,0,1,1,0,1,m,m
4698,THEATRE,1,1,0.873188,1.29811,1.02302,1.28265,0,0,1.65594,0,0,0,1.66435,0.635515,0,0,0,1,0,1,0,0,1,m,m
4699,THEATRE,1,1,0.799381,0.781411,0,1.72802,0.530286,0,0,0,0,0,2.34915,0.521652,1.5611,0,0,1,0,1,0,0,1,m,m
4700,THEATRE,1,1,0.968037,0.522098,0.506876,0.815708,0,0,0,0,0,0,0,1.21405,1.39487,0,0,0,0,1,0,0,0,m,m
7281,THEATRE,1,1,0.984373,0,0,0,0,0,0,0.694211,0.952823,1.34587,0,0,0,0,0,0,1,0,0,0,0,m,m
7282,THEATRE,1,1,0.985739,0,0,0,0,0,0,0.655788,0.958803,0.993831,0,0,0,0,0,0,1,0,0,0,0,m,m
7283,THEATRE,1,1,0.986228,0,0,0.557994,0,0,0,0.58848,0.912473,0.929298,0,0,0,0,0,0,1,0,0,0,0,m,m
7284,THEATRE,1,1,0.983836,0,0,0,0.945461,0,0,0.654783,0.975695,1.03043,0,0,0,0,0,0,1,0,1,0,0,m,m
7285,THEATRE,1,1,0.967846,0,0,0,0.954222,0,0,0.585374,0.800398,0.774041,0,0,0.765566,0,0,0,1,0,1,0,0,m,m
7286,THEATRE,1,1,0.966558,0,0.552257,0,1.02897,0,0,0.657831,0.960092,0.802898,0,0,0,1.0558,0,0,1,0,1,0,0,m,m
7287,THEATRE,1,1,0.962664,0,0,0,0,0,0,0.554076,0.971758,0.777818,0,0,0.691631,1.49996,0,0,1,0,1,0,1,m,m
7288,THEATRE,1,1,0.965987,0,0,0,0,0,0.564451,0,1.13881,0.657242,0,0,0,2.43389,0,0,1,0,1,0,0,m,m
7289,THEATRE,1,1,0.973576,0,0,0,0,0,0,0,1.07826,0.517162,0,0,0,2.37959,0,0,1,0,1,0,0,m,m
7290,THEATRE,1,1,0.967093,0,1.11449,0,0.847617,0,0.950337,0,1.04488,0.737723,0,0,0,2.73925,0,0,1,0,1,0,1,m,m
7291,THEATRE,1,1,0.96651,0,1.03925,0,0.6132,0.511062,0.916901,0.549622,1.1702,0.766223,0,0,0,2.9386,0,0,1,0,1,0,1,m,m
