time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c,speaker_gender,listener_gender
40282,CLEAR,1,1,0.980583,0,0,2.01039,0,0,1.36754,0.50089,0,1.19283,0.805846,0.908157,2.21422,0,0,1,0,1,0,0,1,w,m
40283,CLEAR,1,1,0.976492,0,0,2.09132,0,0.527367,2.38531,0.601267,0,1.57324,0.554871,0.856509,2.2322,0,0,1,0,1,0,0,1,w,m
40284,CLEAR,1,1,0.982164,0,0.680311,2.02779,0,0.714575,2.31041,0.811686,0.521411,1.51503,0.564964,0,1.78544,0.795827,0,1,0,1,0,0,1,w,m
40285,CLEAR,1,1,0.983413,0,0,1.75629,0,0.708229,2.58589,0.876238,0,1.38054,0.705648,0,1.95525,0.832388,0,1,0,1,0,0,1,w,m
40286,CLEAR,1,1,0.983626,0,0,1.65625,0,0.728397,2.67615,0.881543,0.539274,1.49897,0.773412,0,1.8785,1.08758,0,1,0,1,0,0,1,w,m
40287,CLEAR,1,1,0.982617,0.529419,0.506824,1.88972,0,0.710531,2.49861,0.878848,0.517119,1.40715,0.90676,0,1.85941,1.03892,0,1,0,1,0,0,1,w,m
40288,CLEAR,1,1,0.979218,0,0,1.98909,0,0,2.14374,0.610152,0,1.42751,0.725424,0.63932,1.93308,0,0,1,0,1,0,0,1,w,m
40289,CLEAR,1,1,0.977611,0,0,1.86381,0,0,2.26398,0.62301,0,1.31821,0,0.826355,1.96727,0,0,1,0,1,0,0,1,w,m
40290,CLEAR,1,1,0.982702,0,0,2.23708,0,0,2.30706,0,0,1.17497,0.639777,0.63241,1.51183,0,0,1,0,1,0,0,1,w,m
40291,CLEAR,1,1,0.980982,0,0,2.0204,0,0,2.64403,0,0,0.623409,0,0,1.50538,0,0,1,0,1,0,0,1,w,m
40292,CLEAR,1,1,0.981057,0.839109,0.688169,1.96546,0,0,2.35045,0,0,0.600756,0,0,1.05265,0.674342,0,1,0,1,0,0,1,w,m
40293,CLEAR,1,1,0.979595,0.681436,0.705472,2.0296,0,0,2.75289,0,0,0.742491,0,0,1.36809,0,0,1,0,1,0,0,1,w,m
40294,CLEAR,1,1,0.979027,0,0,1.79114,0,0,2.22811,0,0,0.727323,0.678983,0.739434,1.25901,0,0,1,0,1,0,0,1,w,m
40295,CLEAR,1,1,0.979009,0.520465,0.556476,2.06914,0,0,2.37072,0,0,0.815707,0.655526,0.615066,1.2727,0,0,1,0,1,0,0,1,w,m
40296,CLEAR,1,1,0.979446,0.663945,0.7702,1.95675,0,0.510796,2.88165,0.582068,0,0.904836,0,0,1.37327,1.12056,0,1,0,1,0,0,1,w,m
40297,CLEAR,1,1,0.982463,0.604563,0.630072,1.98107,0,0.64129,2.90442,0.731877,0,0.976859,0.808649,0,1.29063,1.22271,0,1,0,1,0,0,1,w,m
40298,CLEAR,1,1,0.983252,0,0.564331,1.92677,0,0.697711,2.69153,0.803637,0,0.916845,0.721795,0,1.49339,1.20799,0,1,0,1,0,0,1,w,m
40299,CLEAR,1,1,0.981556,0,0.650808,1.72284,0,0.708105,2.72426,0.868784,0,0.862147,0.724768,0,1.38862,1.10494,0,1,0,1,0,0,1,w,m
40300,CLEAR,1,1,0.982433,0.585356,0.751722,1.75191,0,0.662083,2.50382,0.762199,0,0.92071,0.632665,0,1.61463,1.27536,0,1,0,1,0,0,1,w,m
40301,CLEAR,1,1,0.984209,0.686152,0.650421,1.78308,0,0.715446,2.66141,0.81782,0,0.897699,0.568679,0,1.51257,1.31877,0,1,0,1,0,0,1,w,m
40302,CLEAR,1,1,0.985721,0.918084,0.570065,1.63268,0,0,2.3673,0.508876,0.591991,0.568193,0,0,1.45037,1.01577,0,1,0,1,0,0,1,w,m
40303,CLEAR,1,1,0.984765,1.45885,0.970342,1.34892,1.13248,0,2.15858,0,0.506451,0,0,0,1.16977,0.682059,0,1,0,1,0,0,1,w,m
40304,CLEAR,1,1,0.977535,1.79584,1.1057,1.28849,1.13318,0,1.05905,0.51661,0.986206,0,0,0,0.698586,0.761941,0.525659,0,0,1,0,0,1,w,m
40305,CLEAR,1,1,0.98035,1.89754,1.27016,1.36221,1.46296,0,0.720589,0.580712,1.10059,0,0,0,0.975585,1.09144,0.521669,0,0,1,0,0,1,w,m
40306,CLEAR,1,1,0.979739,2.04933,1.57651,1.45608,1.31492,0,0.914457,0.530334,0.930441,0,0,0,0.791562,0,0,1,0,1,0,0,1,w,m
40307,CLEAR,1,1,0.979144,2.04227,1.48159,1.13557,1.28155,0,0.976529,0.502914,1.10238,0,0,0,0.895254,0,0,1,0,1,0,0,1,w,m
15190,CLEAR,1,1,0.849226,2.22184,2.85025,1.39143,0.530691,0,0,0,0,0,0,2.20607,0.615721,0,0,0,0,1,1,1,0,m,m
15191,CLEAR,1,1,0.863679,2.90336,3.03086,1.73111,0,0,0,0,0,0,0,2.01363,0,0,0,0,0,1,1,1,0,m,m
15192,CLEAR,1,1,0.881924,3.1777,3.52859,1.97841,0,0,0,0,0,0,0,1.89209,0,0,0,0,0,1,1,1,0,m,m
