time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c,speaker_gender,listener_gender
42933,MONTH,1,1,0.806036,0,1.39541,1.66352,0.964424,0.63543,0,1.02526,1.16857,0.792286,0,0.871228,0,0,0,1,1,0,0,0,0,m,w
22740,MONTH,1,1,0.942678,0.715533,0,0,0,0,0,0,0.561102,0,0,0,0,0,0.713707,0,0,1,1,0,0,w,m
22741,MONTH,1,1,0.943974,0.570852,0,0,0.70942,0,0,0,0,0,0,0,0,0,0.6326,0,0,1,1,0,0,w,m
22742,MONTH,1,1,0.960812,0.810566,0,0,0.832893,0,0.822522,0,0.565366,0,0,0,0,0,0,0,0,1,1,0,0,w,m
22743,MONTH,1,1,0.951119,0.747802,0,0.552131,0.878101,0,0,0,0.637533,0,0.894669,0,0,0,0,0,0,1,1,0,0,w,m
22744,MONTH,1,1,0.954729,1.25544,0.979314,0,1.06406,0,0,0,0.516043,0,1.00782,0,0,0,0,0,0,1,1,0,0,w,m
22745,MONTH,1,1,0.922026,1.28195,1.2678,0.796227,0.788383,0,1.08151,0,0,0,1.22684,0,0,1.81587,0.793365,0,0,1,1,0,0,w,m
22746,MONTH,1,1,0.830967,1.1164,1.77324,0,1.77386,0,1.704,0,0.663183,0,1.08512,0,0,2.11906,0.712684,0,0,1,1,0,0,w,m
22747,MONTH,1,1,0.842238,0.627061,2.61606,0,2.2383,0,0.997731,0.701883,0,0.589254,1.2324,0,0,2.09595,0.725348,0,0,0,1,0,0,w,m
22748,MONTH,1,1,0.847345,0.596281,1.74589,0,2.0459,0.636896,0.659833,0.913156,0.752603,0.834418,1.09799,0,0,1.8353,0.768915,0,0,0,1,0,0,w,m
22749,MONTH,1,1,0.834932,0,1.95396,0,1.94832,0.652589,0,0.96753,0,1.34437,0,0,0,1.41673,0.612147,0,0,0,1,0,0,w,m
22750,MONTH,1,1,0.828001,0,2.12219,0,2.13379,0.636677,0,1.08848,0,1.01371,0,0,0,0,0.644621,0,0,0,1,0,0,w,m
22751,MONTH,1,1,0.843335,0,1.51276,0,2.08774,0.766311,0,1.23275,0,1.26725,0,0,0,0,0,0,0,0,1,0,0,w,m
22752,MONTH,1,1,0.82885,0,1.38038,0,2.29207,0.819699,0,1.39852,0.746184,1.54227,0,0,0,0,0,0,0,0,1,0,0,w,m
22753,MONTH,1,1,0.834238,0,0.876557,0,2.14481,0.838024,0,1.40912,0.737669,1.43879,0,0,0,0,0,0,0,0,1,0,0,w,m
22754,MONTH,1,1,0.855043,0,1.06219,0,2.34191,0.741761,0,1.3004,0.798908,1.17115,0,0,0,0.790343,0,0,0,0,1,0,0,w,m
22755,MONTH,1,1,0.772491,0,1.4589,0,2.52929,0,0,0.790061,0.576103,1.77904,0,0,0,0.657757,0,0,0,0,1,0,0,w,m
22756,MONTH,1,1,0.911181,0,0.831671,0,1.64549,0,0,0.788282,1.34481,2.25014,0,0.579178,0,0,0,0,0,0,1,0,0,w,m
22757,MONTH,1,1,0.934762,0,1.19911,0,1.47334,0,0,0.569473,1.64937,1.35937,0.675635,0,0,0.569275,0,0,0,0,1,0,0,w,m
22758,MONTH,1,1,0.910366,0,1.39254,0,1.52388,0,0,0.601774,1.58167,1.04008,0.808142,0.782517,0,2.5968,0,0,0,1,1,1,0,w,m
22759,MONTH,1,1,0.858009,1.07938,1.78635,0,2.14227,0,0,0.521332,1.55732,0,1.14245,0,0.860859,3.96418,0.878613,0,0,1,1,0,0,w,m
22760,MONTH,1,1,0.883241,0.889664,2.14671,0,1.51243,0.570575,0.569116,0.5877,1.56052,0,1.31245,0,1.00515,4.18718,0.908132,0,0,1,1,0,0,w,m
22761,MONTH,1,1,0.797766,0.934597,1.76331,0,1.58342,0.614216,0,0,1.89755,0,0,0,0.861522,4.11282,1.05996,0,0,1,0,0,0,w,m
22776,MONTH,1,1,0.902346,0,1.54138,0,0.895903,1.69862,0.642316,1.63642,2.97337,1.36526,0.57924,0,0,3.63983,0,0,1,0,1,0,0,w,m
22777,MONTH,1,1,0.855289,0,1.87636,0,1.23594,1.85683,1.00053,1.87512,2.75333,2.08178,0,0,0,3.4949,0,0,1,0,1,0,0,w,m
22778,MONTH,1,1,0.833532,0,2.61494,0,1.48882,1.56318,0,1.65611,1.71393,2.46119,0,0,0,2.9827,0,0,1,0,1,0,0,w,m
22779,MONTH,1,1,0.838013,0,2.60858,0,1.74126,1.35202,0,1.49878,1.35321,2.0314,0,0,0,1.47288,0,0,1,0,0,0,0,w,m
22780,MONTH,1,1,0.84915,0,2.12957,0,1.49064,1.0923,0,1.38539,0.838056,1.97512,0,0,0,0.931209,0,0,1,0,1,0,0,w,m
22781,MONTH,1,1,0.823993,0,0.517311,0,1.17219,0.785033,0,1.30953,1.00682,2.56091,0,0,0,0,0,0,0,0,1,0,0,w,m
22782,MONTH,1,1,0.742275,0,0,0,1.65709,0.745618,0,1.41619,0,2.18094,0,0,0,0,0,0,0,0,1,0,0,w,m
22785,MONTH,1,1,0.920822,0,0,0,0,0,0.51972,0.842212,0.733026,1.57911,0,0,1.11872,0.885127,0.606975,0,0,0,1,0,0,w,m
22786,MONTH,1,1,0.943329,0,0,0,0,0,0,0.566607,0.653745,0.951797,0.56187,0.569948,0.996578,3.52674,0.733263,0,0,0,1,0,0,w,m
