time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c,speaker_gender,listener_gender
37242,CATCH-UP,1,1,0.900462,0,0,1.12916,0,0,0,0,0,0,0.585166,0,1.32979,1.22981,0,1,0,1,0,0,1,w,w
37243,CATCH-UP,1,1,0.942987,1.02863,0,1.40392,0,0,0,0,0.615733,0,0,0,0.834727,2.56464,0,1,1,1,0,0,1,w,w
37244,CATCH-UP,1,1,0.924939,0,0,0.93662,0,0,0,0,0.578851,0,0,0,0.5996,1.5736,0,1,1,0,0,0,0,w,w
37245,CATCH-UP,1,1,0.936968,0,0,0.518222,0,0,0,0,0.743571,0,0,0,0,2.44939,0,1,1,0,0,0,0,w,w
37246,CATCH-UP,1,1,0.950724,0,0,1.0818,0,0,0,0,0,0.550281,0,0,0.63106,2.56349,0,1,1,1,0,0,1,w,w
37247,CATCH-UP,1,1,0.956976,0,0.686705,0,0,0,0,0,0.672563,1.03981,0,0.670126,0,2.179,0,1,1,1,0,1,0,w,w
37248,CATCH-UP,1,1,0.890831,0,0.60948,1.37517,0,0,1.02378,0.556097,0.577227,1.14652,0,0,0.634223,2.78786,0,1,1,1,0,0,0,w,w
37249,CATCH-UP,1,1,0.920051,0.688991,0.671174,1.38849,0.699355,0,0,0.815175,0.548618,1.32366,0,0,0,2.09675,0,0,1,1,0,0,0,w,w
37270,CATCH-UP,1,1,0.776403,0.72633,0,1.48093,0,0,0,0,0.54647,0.581377,0.883471,0,0,0,0,1,1,0,0,0,0,w,w
51904,CATCH-UP,1,1,0.956308,1.01516,1.57814,0,0,0.688648,0,0.866287,1.09871,1.72431,0.705005,0,0,0,0,0,0,1,0,0,0,m,m
51925,CATCH-UP,1,1,0.944848,0,0,0.952892,0.51034,0,1.20318,0,0,0,0,0,1.54781,0,0,1,0,1,0,0,1,m,m
51926,CATCH-UP,1,1,0.938208,0.75129,0,1.54678,0,0,1.95721,0,0,0,0,0.757317,1.92153,0,0,1,0,1,1,0,0,m,m
51927,CATCH-UP,1,1,0.808649,1.04557,0,1.94195,0,0,1.00872,0,0.686616,0,0,0.565151,1.23226,0.531508,0.510538,1,1,0,1,0,1,m,m
51928,CATCH-UP,1,1,0.967011,0,0,0.782573,0.597118,0,0.997255,0,0,0,0,0,0.739524,0,0,1,0,1,0,0,1,m,m
51929,CATCH-UP,1,1,0.968004,0,0,0,0,0,0.986212,0,0,0,0,0,1.01112,0,0,1,1,0,0,0,1,m,m
51930,CATCH-UP,1,1,0.930769,0,0,0,0,0,1.43429,0,0.502499,0,0,0.564725,0.877377,0,0.571234,1,1,0,0,0,1,m,m
