time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c,speaker_gender,listener_gender
19618,DISNEY,1,1,0.866693,1.22167,0,0.668002,0,0,0,0.564796,0,2.10837,0.81138,0.56195,1.72814,0,0.50303,1,1,1,0,0,0,w,w
27046,DISNEY,1,1,0.92047,1.02674,0,0,0.855835,0,0.514761,0,0,0,0.835022,1.4962,0,0,0,0,0,1,1,0,0,w,w
27047,DISNEY,1,1,0.925138,1.19367,0.780819,0.727639,0,0,0.607418,0,0,0,0,0,0,0,0,0,0,1,1,0,1,w,w
27048,DISNEY,1,1,0.939139,1.08405,1.2446,0.884618,0,0,0,0,0,0,0.613021,0,0,1.12259,0,0,0,1,1,0,1,w,w
27049,DISNEY,1,1,0.958489,0.817783,1.17745,0.954112,0,0,0.707673,0,0,0.851926,0.581818,0,0.558114,1.8173,0,0,1,1,1,0,1,w,w
27050,DISNEY,1,1,0.951222,0.954191,1.55652,0.709354,0.791787,0.620314,0,0.637439,0.915075,1.08321,0,0,0.734386,0.568942,0,0,1,1,0,0,0,w,w
27051,DISNEY,1,1,0.935619,0.689983,1.19637,0,1.04249,0.752235,0,0.836968,1.08903,0.952519,0,0,0.770869,0.869382,0,0,1,0,0,0,0,w,w
