time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c,speaker_gender,listener_gender
34540,SNOB,1,1,0.931056,1.20369,0.99036,0,1.08741,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,w,m
34541,SNOB,1,1,0.910717,1.03371,1.08446,0,0.706764,0,0,0,0,0,0.610054,0,0,0,0,0,0,0,1,0,1,w,m
34542,SNOB,1,1,0.922578,0.809794,1.36373,0.698754,0.567183,0,0,0,0,0,0.815211,0,0,0,0,0,0,0,1,0,1,w,m
34543,SNOB,1,1,0.927341,0.664688,1.3122,0,0.680085,0,0,0,0,0,0.768761,0,0,0,0,1,0,1,0,0,1,w,m
34544,SNOB,1,1,0.913538,0.62726,1.54539,0.521998,0.63284,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,w,m
34587,SNOB,1,1,0.976237,0,0,0.580046,0.739592,0,0,0,0,0,0,0.575,2.01617,0,0,0,0,1,0,0,1,w,m
34588,SNOB,1,1,0.978484,0,0,0.692272,0.80827,0,0,0,0,0,0,0,1.59479,0,0,1,0,1,0,0,1,w,m
34589,SNOB,1,1,0.978682,0.577503,0,0.798517,0.819708,0,0.636644,0,0,0,0,0,1.4242,0,0,1,0,1,0,0,1,w,m
34590,SNOB,1,1,0.981138,0.559058,0,0.629429,0.672648,0,0.628413,0,0,0,0,0,1.24619,0,0,1,0,1,0,0,1,w,m
34591,SNOB,1,1,0.979579,0.573762,0,0,0.622955,0,0.502068,0,0,0,0,0,1.13535,0,0,1,0,1,0,0,1,w,m
34592,SNOB,1,1,0.979756,0,0,0,0.918242,0,0,0,0,0,0,0,1.1626,0,0,1,0,1,0,0,1,w,m
34593,SNOB,1,1,0.980737,0.726718,0,0,1.00909,0,0,0,0,0,0,0,1.2354,0,0,1,0,1,0,0,0,w,m
34594,SNOB,1,1,0.977209,0.71559,0.773206,0,1.03651,0,0,0,0,0,0,0,1.27957,0,0,0,0,1,0,0,0,w,m
34595,SNOB,1,1,0.978933,0.66174,0,0,1.13208,0,0,0,0,0,0,0.515186,1.48234,0,0,0,0,1,0,0,0,w,m
34596,SNOB,1,1,0.979042,0.786767,0.56684,0,1.18368,0,0,0,0,0,0,0,1.08677,0,0,0,0,1,0,0,0,w,m
6043,SNOB,1,1,0.742613,0,0,0,1.21927,0,0,0,0,0,0,0,0,2.06012,0,1,0,0,0,0,0,m,m
6048,SNOB,1,1,0.902912,0,0,0,1.31416,0,0,0,0,0.880041,0,0,0,0,0,1,0,0,0,0,0,m,m
6049,SNOB,1,1,0.891366,0,0,0,0.885031,0,0,0,0,0.889049,0,0,0,0,0,1,0,0,0,0,0,m,m
6050,SNOB,1,1,0.895621,0,0,0,0.910627,0,0,0,0,1.00141,0,0,0,0,0,1,0,0,0,0,0,m,m
6051,SNOB,1,1,0.89246,0,0,0.692626,0.98114,0,0,0,0,0.941445,0,0,0,0,0,1,0,0,0,0,0,m,m
6052,SNOB,1,1,0.9001,0,0,0.587437,0.904668,0,0,0,0,0.917917,0,0,0,0,0,1,0,0,0,0,0,m,m
6058,SNOB,1,1,0.944394,0,0,0.99363,1.10258,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,m,m
6059,SNOB,1,1,0.864455,0,0,1.10003,1.25035,0,0.631216,0,0,0,0,0,0,1.34477,0,1,0,0,1,0,0,m,m
6060,SNOB,1,1,0.872655,0.690085,0,0.642036,1.28754,0,0.69957,0,0,0,0,0,0,2.58696,0,1,0,0,1,0,0,m,m
6061,SNOB,1,1,0.85107,1.62111,0,1.10705,1.08165,0,1.1666,0,0,0,0,0,0,3.94014,0,1,0,0,0,0,0,m,m
6062,SNOB,1,1,0.83007,1.79612,0,0.982247,0.857737,0,0.914611,0,0,0,0,0,0,3.62769,0,0,0,0,0,0,0,m,m
6067,SNOB,1,1,0.927194,0,0,0,0.73652,0.677792,0,1.02635,1.27518,1.5448,0.875487,0,0,0,0,0,0,1,0,0,0,m,m
