time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c,speaker_gender,listener_gender
48067,MAFIA,1,1,0.780696,0,0,0,0.703872,0.735973,0,1.14471,1.36652,1.8055,0,0,2.31367,2.83285,0,0,1,0,0,0,0,w,w
48068,MAFIA,1,1,0.830994,0,0,0,0,0.80317,0,1.21801,1.24143,2.10212,0,0,2.07132,1.99237,0,0,1,0,0,0,0,w,w
48069,MAFIA,1,1,0.876038,0,0,0,0,0.812656,0,1.17621,1.26587,2.2558,0,0,1.74887,2.15201,0,0,1,0,0,0,0,w,w
