time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c,speaker_gender,listener_gender
4931,LEFT,1,1,0.84671,0.789127,0.872694,0,0.932795,0,2.36866,0,0,0,0,0,1.51958,1.16682,0,0,1,1,1,0,0,w,w
4932,LEFT,1,1,0.838826,0.746602,0.869226,0,1.08568,0,2.72734,0,0,0,0.618576,0,0.873317,1.27844,0,0,1,1,1,0,0,w,w
4933,LEFT,1,1,0.856675,0.650709,0.755117,0,0.79355,0,2.27131,0,0,0,0,0,1.28809,1.21552,0,0,1,0,1,0,0,w,w
4934,LEFT,1,1,0.967428,0.510355,0,0,0,0,2.1936,0,0,0,0,0,0.905431,0,0,0,1,0,0,0,0,w,w
4935,LEFT,1,1,0.971453,0.958259,0,0,0,0,2.08635,0,0,0,0,0,1.0676,0,0,0,0,0,0,0,0,w,w
4936,LEFT,1,1,0.972486,0.930875,0,0,0.506429,0,1.6441,0,0,0,0,0,0.771911,0,0,0,0,0,0,0,0,w,w
37701,LEFT,1,1,0.969256,0,0,0,0.763179,0.57733,1.3947,0.613923,1.24901,1.17332,0,0,0.692275,2.50821,0,0,1,0,1,0,1,w,w
37702,LEFT,1,1,0.975624,0,0,0,0.807907,0.510639,1.56671,0,1.06605,0.983095,0,0,0,2.4422,0,0,1,0,1,0,1,w,w
37703,LEFT,1,1,0.977169,0,0,0,0.594429,0.572599,1.76881,0,1.14806,0.836227,0,0,0,2.62024,0,0,1,0,1,0,1,w,w
37704,LEFT,1,1,0.969415,0,0,0.699317,0,0.632756,1.77194,0.582822,1.24118,1.44853,0,0,0.953519,1.84272,0,0,1,0,1,0,1,w,w
37705,LEFT,1,1,0.975212,0,0,0.65157,0.674258,0.836589,1.62635,0.96642,1.61754,0.988551,0,0,1.36069,1.70251,0,0,1,0,1,0,1,w,w
37706,LEFT,1,1,0.978001,0,0.760148,0,0.673696,0.747181,1.33189,0.666427,1.24884,1.09274,0,0,0.715541,1.70008,0,0,1,0,1,0,1,w,w
37707,LEFT,1,1,0.958281,0,0.58959,0,0,0,1.01563,0,0,0,0,0,0,0.899983,0.675453,0,0,1,1,0,1,w,w
37708,LEFT,1,1,0.871251,0.949299,0.76285,0,0.98278,0,0,0,0,0,0.719749,0,0.532419,0,0.826512,0,0,1,0,0,0,w,w
37709,LEFT,1,1,0.94809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613083,0,0,1,0,0,1,w,w
37710,LEFT,1,1,0.966537,0,0,0,0,0,0,0,0,0,0,0,1.13453,0,0.558975,0,0,1,0,0,0,w,w
37729,LEFT,1,1,0.959595,0,0,0.640132,0,0,0.648501,0,0,0,0,0,1.16376,1.27842,0.850473,0,0,0,0,0,0,w,w
37730,LEFT,1,1,0.954433,0,0.693673,0.651655,0,0,0,0,0,0,0,0,0.597269,0,0,0,0,1,0,0,0,w,w
37731,LEFT,1,1,0.959376,0,0,0,0,0,0,0,0,0,0,0.580177,0.871448,0,0,0,0,0,0,0,0,w,w
