time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c,speaker_gender,listener_gender
45825,POINT,1,1,0.978953,0.956676,1.13628,1.42539,0,0,1.15499,0,0,1.02309,0.649034,0.765919,0,0,0,1,0,0,1,0,1,m,w
45826,POINT,1,1,0.979986,1.13413,1.39809,1.49808,0,0,0.795276,0,0,1.11702,0.585077,0.756,0.599167,0,0,1,1,0,1,0,0,m,w
45827,POINT,1,1,0.976952,1.10268,1.68631,1.45121,0,0,1.11245,0,0,1.22636,0,0.722734,0.633202,0,0,1,1,0,1,0,0,m,w
45828,POINT,1,1,0.978588,1.09435,1.51552,1.41937,0,0,1.13036,0,0,1.24314,0,0.722491,0,0.89638,0,1,1,0,1,0,0,m,w
45829,POINT,1,1,0.975369,1.02524,1.78235,1.11947,0,0,0.786918,0,0,1.1734,0,0.640465,0.559218,0.778595,0,1,1,0,1,0,0,m,w
45830,POINT,1,1,0.978203,0.978071,1.8495,1.2839,0,0,1.00055,0,0,1.13432,0,0.532824,0.568737,1.48251,0,1,1,0,1,0,0,m,w
45831,POINT,1,1,0.972745,1.17144,1.67644,1.16462,0.569711,0,0,0,0,0.822445,0,0,0.721803,2.0775,0,1,1,0,1,0,0,m,w
45832,POINT,1,1,0.963664,1.04869,1.78289,1.17213,0.961637,0,0,0,0,0.538273,0,0,1.02695,2.77582,0,1,1,0,1,0,0,m,w
45833,POINT,1,1,0.965156,0.967476,1.95587,1.33645,1.2774,0,0,0,0,0,0,0,0.790463,2.57226,0,1,1,0,1,0,0,m,w
45834,POINT,1,1,0.968208,0.905657,1.83137,1.61189,1.23264,0,0.792644,0,0,0,0,0,0.709718,2.80905,0,1,1,0,1,0,0,m,w
45835,POINT,1,1,0.965281,1.00246,1.99539,1.44809,1.18012,0,0.612037,0,0,0,0,0,0.64287,2.94053,0,1,1,0,1,0,0,m,w
45836,POINT,1,1,0.963662,1.11132,2.31576,1.59312,1.26308,0,0.65936,0,0,0,0,0,0,3.38683,0,1,1,0,1,0,0,m,w
45837,POINT,1,1,0.960592,1.17689,2.17567,1.5862,1.44801,0,1.01577,0,0,0,0,0,0,3.55128,0,1,1,0,1,0,0,m,w
45838,POINT,1,1,0.955506,1.2287,2.19318,1.56392,1.2005,0,0.541202,0,0,0,0,0,0,3.36447,0,1,0,0,1,0,0,m,w
45839,POINT,1,1,0.952609,1.03827,2.13209,1.481,1.13255,0,0.516411,0,0,0,0,0,0,2.7819,0,1,1,0,1,0,0,m,w
45840,POINT,1,1,0.943401,1.07205,2.13112,1.35958,0.873471,0,0,0,0,0,0.630981,0,0,2.77934,0,1,0,0,1,0,0,m,w
45841,POINT,1,1,0.922884,0.859204,2.12401,1.07612,0.701191,0,0,0,0,0,0,0,0,3.01496,0,1,0,0,1,0,0,m,w
45842,POINT,1,1,0.919688,0.555711,1.52998,1.11141,0.704398,0,0,0,0,0,0.590575,0,0,2.84819,0,1,0,0,0,0,0,m,w
45843,POINT,1,1,0.926955,0.589162,1.52603,1.27209,0.689394,0,0,0,0,0,0,0,0,3.31023,0.581948,1,1,0,1,0,0,m,w
45844,POINT,1,1,0.959592,0,1.66978,1.26736,0.713899,0,0,0,0,0,0,0,0,3.60523,0.566191,1,0,0,0,0,0,m,w
45845,POINT,1,1,0.970107,0,2.06477,1.60253,0,0,1.63949,0,0,0,0,0,0,2.59724,0,1,0,0,0,0,0,m,w
45846,POINT,1,1,0.916883,0,1.01121,2.83204,0,0,1.51813,0,0,0.638834,0,0,0,2.30288,0,1,0,0,0,0,0,m,w
45847,POINT,1,1,0.978152,0,1.17961,1.28772,0,0,0.917339,0,0,1.01886,0,0.545713,0.805506,2.53546,0,1,0,0,1,0,0,m,w
45848,POINT,1,1,0.729273,0,0,2.73657,0,0,0,0,0,1.06165,0,0.808019,0,0,0,1,0,0,0,0,0,m,w
45849,POINT,1,1,0.988096,0,0.654026,1.09861,0,0,2.04469,0,0,1.39418,0.778739,0.519085,1.0377,0,0,1,0,0,1,0,0,m,w
45853,POINT,1,1,0.985743,0.936155,0.628157,0.762893,0,0,1.6614,0.736641,0,1.42311,0.689304,0,0.505966,0,0,1,1,1,1,0,0,m,w
45854,POINT,1,1,0.985911,1.00164,1.32994,0.824283,0,0,1.69668,0.566917,0,1.24029,0,0,0,1.52511,0,0,1,1,1,0,0,m,w
