time_stamp,word,frame,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz,speaker_gender,listener_gender
5658,NEW,5658,0.865018,1,-4.85855,-220.679,1345.42,-0.123678,0.0745062,0.0442269,m,w
5659,NEW,5659,0.901456,1,-6.81557,-218.016,1313.28,-0.121014,0.0662149,0.0442048,m,w
5660,NEW,5660,0.938073,1,-6.3636,-218.753,1314.47,-0.057323,0.0542391,0.0770444,m,w
5661,NEW,5661,0.954902,1,-4.06373,-217.146,1312.43,-0.0205755,0.0269829,0.114357,m,w
5662,NEW,5662,0.944171,1,-0.151296,-214.795,1311.99,0.0260258,-0.0773117,0.152693,m,w
5663,NEW,5663,0.945789,1,-0.0912409,-213.856,1307.8,0.0619796,-0.12194,0.185566,m,w
5664,NEW,5664,0.937191,1,-2.20431,-214.927,1312.55,0.0733528,-0.135706,0.209047,m,w
5665,NEW,5665,0.920979,1,-6.37434,-217.24,1323.32,0.0970935,-0.0995305,0.233733,m,w
5666,NEW,5666,0.921508,1,-10.1525,-223.32,1336.16,0.0724354,-0.113198,0.229932,m,w
5667,NEW,5667,0.922367,1,-12.8096,-227.634,1341.33,0.0844974,-0.126514,0.241332,m,w
5668,NEW,5668,0.924731,1,-16.8588,-235.439,1365.3,0.0972923,-0.103182,0.245348,m,w
5669,NEW,5669,0.935991,1,-20.4411,-235.409,1366.27,0.130042,-0.0991393,0.235714,m,w
5670,NEW,5670,0.879584,1,-26.6479,-237.447,1389.03,0.167814,-0.0442023,0.227261,m,w
5671,NEW,5671,0.844464,1,-32.624,-242.704,1426.47,0.222383,-0.018131,0.201939,m,w
5672,NEW,5672,0.92649,1,-37.6542,-244.264,1435.43,0.192028,0.00366178,0.190177,m,w
5673,NEW,5673,0.942231,1,-39.6455,-241.861,1404.63,0.138191,-0.013696,0.179178,m,w
5674,NEW,5674,0.903377,1,-40.286,-244.35,1393.45,0.0890649,-0.0217565,0.169911,m,w
5675,NEW,5675,0.898345,1,-40.213,-246.502,1381.16,0.0674323,-0.0226283,0.171342,m,w
5676,NEW,5676,0.841613,1,-40.9016,-248.536,1372.95,0.0666123,-0.0147246,0.182628,m,w
5677,NEW,5677,0.806943,1,-42.7016,-252.786,1381.85,0.0626037,-0.0107969,0.171622,m,w
5678,NEW,5678,0.743402,1,-44.7194,-257.343,1397.54,0.0786171,0.0238417,0.171396,m,w
5679,NEW,5679,0.744338,1,-47.0738,-261.071,1414.42,0.102415,0.0525078,0.166677,m,w
5680,NEW,5680,0.897997,1,-49.1663,-263.322,1425.99,0.132679,0.0230842,0.163671,m,w
5681,NEW,5681,0.897803,1,-49.9155,-260.732,1413.26,0.14678,0.0192185,0.164997,m,w
5682,NEW,5682,0.914834,1,-49.3479,-258.858,1408.57,0.17591,0.008168,0.162544,m,w
5683,NEW,5683,0.866796,1,-48.5811,-255.038,1392.42,0.17772,-0.00279778,0.161189,m,w
5684,NEW,5684,0.9118,1,-48.618,-256.619,1399.29,0.187087,-0.020036,0.160003,m,w
5685,NEW,5685,0.902198,1,-47.4745,-251.5,1375.63,0.181899,-0.0250746,0.160136,m,w
5686,NEW,5686,0.908663,1,-46.2656,-247.04,1356.48,0.191734,-0.0340194,0.164829,m,w
5687,NEW,5687,0.912391,1,-43.6057,-245.53,1343.95,0.180686,-0.0588557,0.170434,m,w
5688,NEW,5688,0.938033,1,-40.7155,-246.982,1335.74,0.131467,-0.0762703,0.162356,m,w
5689,NEW,5689,0.911831,1,-38.1397,-251.205,1345.17,0.101799,-0.0856021,0.164535,m,w
5690,NEW,5690,0.936144,1,-37.6481,-255.174,1363.56,0.0966689,-0.0702944,0.165805,m,w
5691,NEW,5691,0.942459,1,-39.1072,-257.304,1379.35,0.105468,-0.0383048,0.157922,m,w
5692,NEW,5692,0.942955,1,-40.7383,-256.44,1382.55,0.113026,-0.0167451,0.151297,m,w
5693,NEW,5693,0.924194,1,-41.4643,-256.164,1387.86,0.111848,-0.0180136,0.150521,m,w
5694,NEW,5694,0.871765,1,-42.3,-258.172,1398.68,0.0793958,-0.0238973,0.141696,m,w
5695,NEW,5695,0.851361,1,-43.1269,-257.861,1398.29,0.0932274,-0.0182723,0.133846,m,w
5696,NEW,5696,0.851503,1,-44.9817,-260.171,1405.77,0.0898463,9.32817e-05,0.130054,m,w
5697,NEW,5697,0.893484,1,-47.0199,-264.891,1423.13,0.0738035,0.0167199,0.128605,m,w
5698,NEW,5698,0.919744,1,-48.7355,-268.443,1431.41,0.0135087,0.0313157,0.126583,m,w
5699,NEW,5699,0.938076,1,-51.0334,-264.281,1401.54,-0.0142497,0.0893764,0.13238,m,w
5700,NEW,5700,0.921667,1,-55.0742,-258.897,1362.59,-0.0175951,0.127632,0.119092,m,w
5701,NEW,5701,0.8732,1,-59.9024,-256.547,1343.45,-0.0013872,0.165371,0.100892,m,w
5702,NEW,5702,0.874976,1,-66.2251,-260.768,1361.53,0.00952909,0.176895,0.0912463,m,w
5703,NEW,5703,0.874655,1,-71.052,-260.683,1361.11,0.0286659,0.19466,0.0809702,m,w
5704,NEW,5704,0.836396,1,-76.0881,-261.039,1357.58,0.0154891,0.255149,0.0723148,m,w
5705,NEW,5705,0.947132,1,-80.0343,-261.14,1351.91,0.00848412,0.312394,0.0757192,m,w
5706,NEW,5706,0.950084,1,-82.6281,-264.315,1365.61,-0.00706717,0.333322,0.100421,m,w
5707,NEW,5707,0.938128,1,-81.7741,-267.833,1382.76,-0.0351272,0.313685,0.126829,m,w
