time_stamp,word,frame,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz,speaker_gender,listener_gender
8797,CHILD,8797,0.750088,1,-54.7034,-236.912,1161.63,-0.219264,0.0479657,-0.170355,w,m
8798,CHILD,8798,0.780422,1,-55.8529,-238.212,1169.62,-0.209457,0.0555735,-0.182526,w,m
8799,CHILD,8799,0.778447,1,-56.7455,-237.819,1168.59,-0.217744,0.0661232,-0.191035,w,m
8800,CHILD,8800,0.812629,1,-57.855,-236.221,1165.47,-0.207173,0.0696988,-0.197379,w,m
8801,CHILD,8801,0.756124,1,-58.9384,-234.311,1163.26,-0.184538,0.0756016,-0.205807,w,m
8802,CHILD,8802,0.75933,1,-59.9712,-233.657,1168.98,-0.160709,0.0784526,-0.21694,w,m
8803,CHILD,8803,0.773424,1,-61.2323,-234.384,1182.42,-0.140358,0.0902746,-0.225118,w,m
8804,CHILD,8804,0.825406,1,-62.5841,-234.345,1189.31,-0.121917,0.100441,-0.23604,w,m
8805,CHILD,8805,0.835886,1,-63.9722,-233.584,1190.52,-0.103319,0.116771,-0.24406,w,m
8806,CHILD,8806,0.846018,1,-65.3479,-231.741,1187.93,-0.0697241,0.12174,-0.254865,w,m
8807,CHILD,8807,0.855004,1,-66.3374,-229.906,1187.67,-0.0399691,0.120511,-0.262221,w,m
8808,CHILD,8808,0.902071,1,-67.0071,-228.468,1189.72,-0.000184407,0.125364,-0.267745,w,m
8809,CHILD,8809,0.937517,1,-67.5244,-228.47,1196.14,0.0251191,0.118525,-0.272297,w,m
8810,CHILD,8810,0.905151,1,-68.0723,-229.156,1203.37,0.0435628,0.113874,-0.277947,w,m
8811,CHILD,8811,0.948966,1,-69.3786,-232.004,1218.3,0.0745915,0.113115,-0.285863,w,m
8812,CHILD,8812,0.953761,1,-70.6336,-234.25,1231.39,0.0898543,0.147601,-0.294126,w,m
8813,CHILD,8813,0.931949,1,-71.2114,-232.634,1224.77,0.0891301,0.126298,-0.295254,w,m
8814,CHILD,8814,0.956343,1,-70.8778,-232.606,1226.22,0.122249,0.109748,-0.312276,w,m
8815,CHILD,8815,0.967286,1,-70.2846,-225.477,1198.1,0.134382,0.119561,-0.298867,w,m
8816,CHILD,8816,0.973497,1,-71.6488,-225.054,1199.5,0.138558,0.123648,-0.289375,w,m
8817,CHILD,8817,0.977925,1,-73.2799,-226.315,1206.97,0.130602,0.127352,-0.285784,w,m
8818,CHILD,8818,0.981711,1,-74.7367,-227.269,1216.39,0.148341,0.120434,-0.292044,w,m
8819,CHILD,8819,0.965069,1,-75.6356,-227.419,1222.34,0.183701,0.111298,-0.295491,w,m
8820,CHILD,8820,0.960958,1,-75.6846,-225.503,1216.8,0.186291,0.118548,-0.284494,w,m
8821,CHILD,8821,0.944294,1,-76.1153,-228.271,1229.67,0.19806,0.102977,-0.282925,w,m
8822,CHILD,8822,0.955264,1,-76.0859,-228.745,1231.74,0.205848,0.096159,-0.280692,w,m
