time_stamp,word,frame,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz,speaker_gender,listener_gender
3315,FROM-TO,3315,0.959616,1,-33.7291,-245.495,1201.37,-0.11262,-0.258049,-0.15692,m,w
3316,FROM-TO,3316,0.960706,1,-39.6426,-244.932,1199.18,-0.0899081,-0.18178,-0.158056,m,w
3317,FROM-TO,3317,0.906801,1,-45.0193,-240.974,1193.42,-0.0542559,-0.0988349,-0.16373,m,w
3318,FROM-TO,3318,0.90053,1,-50.5598,-237.44,1193.81,-0.00330389,-0.00252995,-0.154529,m,w
3319,FROM-TO,3319,0.984247,1,-69.2211,-228.266,1189.55,-0.0114687,-0.231303,-0.086965,m,w
3320,FROM-TO,3320,0.975307,1,-77.3484,-227.632,1205.27,0.0140682,-0.187086,-0.105331,m,w
3321,FROM-TO,3321,0.900068,1,-84.7496,-229.958,1223.26,-0.0100273,-0.178357,-0.120147,m,w
3322,FROM-TO,3322,0.97978,1,-110.379,-228.81,1197.78,0.0406022,0.0566974,-0.0632626,m,w
3323,FROM-TO,3323,0.97374,1,-116.973,-232.713,1193.1,-0.00632928,0.0905552,-0.0587235,m,w
3324,FROM-TO,3324,0.926648,1,-123.904,-237.32,1195.67,-0.021818,0.0950218,-0.0618056,m,w
3325,FROM-TO,3325,0.862836,1,-131.37,-242.495,1205.16,-0.0373936,0.121618,-0.0602276,m,w
3326,FROM-TO,3326,0.78446,1,-139.1,-247.086,1219.03,-0.0364114,0.16936,-0.0511235,m,w
3327,FROM-TO,3327,0.786739,1,-146.135,-249.283,1229.42,0.0269501,0.178463,-0.0463902,m,w
3328,FROM-TO,3328,0.784325,1,-154.394,-254.515,1257.43,0.0842711,0.192323,-0.035612,m,w
3329,FROM-TO,3329,0.956841,1,-173.245,-252.185,1244.76,0.158887,0.428822,-0.0630384,m,w
3330,FROM-TO,3330,0.945309,1,-180.861,-258.289,1271.95,0.186016,0.528836,-0.0642927,m,w
3331,FROM-TO,3331,0.86432,1,-188.161,-263.745,1293,0.214613,0.582723,-0.068999,m,w
3332,FROM-TO,3332,0.872521,1,-195.875,-268.856,1311.79,0.186869,0.642383,-0.0500853,m,w
3333,FROM-TO,3333,0.886836,1,-201.475,-274.192,1331.24,0.19268,0.675683,-0.0568616,m,w
3334,FROM-TO,3334,0.892072,1,-203.254,-276.37,1339.18,0.194813,0.692862,-0.0580835,m,w
3335,FROM-TO,3335,0.892806,1,-203.028,-276.652,1344.17,0.191707,0.700133,-0.047926,m,w
3336,FROM-TO,3336,0.895473,1,-201.186,-276.377,1350.43,0.175565,0.694719,-0.0315849,m,w
3337,FROM-TO,3337,0.867088,1,-203.919,-281.763,1385.86,0.13361,0.645765,0.00637028,m,w
3338,FROM-TO,3338,0.804134,1,-202.013,-281.759,1394.31,0.112229,0.601109,0.0351828,m,w
3339,FROM-TO,3339,0.747545,1,-199.588,-281.74,1399.52,0.0961654,0.554282,0.0573405,m,w
3340,FROM-TO,3340,0.958204,1,-195.882,-280.532,1398.72,0.0485409,0.519749,0.0869933,m,w
3341,FROM-TO,3341,0.958069,1,-190.429,-279.141,1394.36,0.0371011,0.464763,0.0965698,m,w
3342,FROM-TO,3342,0.971122,1,-186.844,-281.161,1402.31,0.00981091,0.422004,0.095403,m,w
3343,FROM-TO,3343,0.975354,1,-182.93,-282.627,1406.04,-0.00503012,0.39732,0.0833679,m,w
3344,FROM-TO,3344,0.973918,1,-175.91,-278.702,1384.41,-0.0184245,0.392588,0.0754696,m,w
3345,FROM-TO,3345,0.961818,1,-171.023,-277.539,1374.29,0.00206244,0.349228,0.0503847,m,w
3346,FROM-TO,3346,0.969676,1,-166.768,-276.597,1365.32,0.0284244,0.304367,0.0180163,m,w
3347,FROM-TO,3347,0.969163,1,-163.382,-276.485,1361.57,0.0381002,0.257596,-0.00717481,m,w
3348,FROM-TO,3348,0.96216,1,-160.191,-278.545,1364.34,0.0132522,0.205848,-0.0209854,m,w
3349,FROM-TO,3349,0.919538,1,-154.761,-280.178,1348.15,-0.0425555,0.16166,-0.032858,m,w
3350,FROM-TO,3350,0.950904,1,-145.373,-275.917,1298.02,-0.132047,0.127237,-0.0444405,m,w
3351,FROM-TO,3351,0.920979,1,-138.547,-275.628,1262.81,-0.20841,0.0906829,-0.0608026,m,w
3352,FROM-TO,3352,0.895887,1,-135.269,-279.744,1248.49,-0.282869,0.066692,-0.0859268,m,w
3353,FROM-TO,3353,0.894749,1,-134.288,-284.733,1241.59,-0.339113,0.0278294,-0.122902,m,w
3354,FROM-TO,3354,0.963724,1,-134.64,-291.409,1248.85,-0.372862,-0.0153505,-0.181809,m,w
3355,FROM-TO,3355,0.971713,1,-136.515,-297.424,1263.34,-0.377085,-0.026844,-0.226085,m,w
3356,FROM-TO,3356,0.972986,1,-139.565,-303.06,1282.94,-0.347992,-0.0249123,-0.252628,m,w
2710,FROM-TO,2710,0.953048,1,-85.1178,-267.32,1335.74,-0.0903784,0.38047,0.221302,m,w
2711,FROM-TO,2711,0.94718,1,-85.3061,-267.265,1338.25,-0.0656848,0.375325,0.213689,m,w
2712,FROM-TO,2712,0.956272,1,-85.826,-266.498,1339.94,-0.0424951,0.362522,0.205376,m,w
2713,FROM-TO,2713,0.957223,1,-86.971,-265.598,1338.11,-0.0400265,0.372126,0.206222,m,w
2714,FROM-TO,2714,0.960504,1,-88.7637,-266.285,1334.88,-0.0805615,0.392029,0.213973,m,w
2715,FROM-TO,2715,0.950092,1,-90.5812,-269.431,1342.42,-0.0992033,0.387552,0.218524,m,w
2716,FROM-TO,2716,0.949051,1,-91.7549,-271.521,1348.37,-0.106592,0.386562,0.229808,m,w
2717,FROM-TO,2717,0.940626,1,-92.0967,-273.18,1363.28,-0.0814804,0.35757,0.240144,m,w
2718,FROM-TO,2718,0.936511,1,-90.2551,-273.895,1381.75,-0.0363831,0.296225,0.252213,m,w
2719,FROM-TO,2719,0.874039,1,-86.3059,-273.411,1396.24,0.00432624,0.23288,0.256884,m,w
2720,FROM-TO,2720,0.883755,1,-80.9925,-268.453,1386.71,0.0329575,0.135628,0.261036,m,w
2721,FROM-TO,2721,0.8379,1,-74.4844,-261.397,1366.85,0.0528224,0.044544,0.247918,m,w
2722,FROM-TO,2722,0.810469,1,-69.2332,-258.337,1359.63,0.0699093,-0.0140289,0.257732,m,w
2723,FROM-TO,2723,0.896562,1,-65.7389,-259.383,1374.31,0.0803139,-0.0689991,0.273261,m,w
2724,FROM-TO,2724,0.909027,1,-64.9328,-260.306,1386.23,0.0891655,-0.0452551,0.279113,m,w
2725,FROM-TO,2725,0.858939,1,-66.4525,-264.739,1402.47,0.0844574,-0.0213879,0.247022,m,w
2726,FROM-TO,2726,0.875601,1,-70.2925,-271.7,1419.53,0.046462,0.0607822,0.235841,m,w
2727,FROM-TO,2727,0.876056,1,-72.5159,-270.337,1394.72,-0.00311861,0.148987,0.236269,m,w
2728,FROM-TO,2728,0.925541,1,-75.2031,-268.71,1380.72,-0.0245938,0.181794,0.228282,m,w
2729,FROM-TO,2729,0.922783,1,-80.6575,-272.015,1400.05,0.00935876,0.212175,0.229468,m,w
2730,FROM-TO,2730,0.919054,1,-84.2684,-272.84,1410.58,0.0623434,0.198013,0.216032,m,w
2731,FROM-TO,2731,0.897589,1,-86.0494,-270.11,1397.57,0.080267,0.223089,0.204936,m,w
2732,FROM-TO,2732,0.909093,1,-87.8774,-266.186,1372.5,0.0968205,0.247128,0.194809,m,w
2733,FROM-TO,2733,0.935278,1,-91.2948,-265.025,1354.16,0.0782871,0.29371,0.192115,m,w
5187,FROM-TO,5187,0.921218,1,75.5321,-216.348,1167.58,0.0693257,-0.651161,0.0153628,w,m
5188,FROM-TO,5188,0.926898,1,75.2217,-216.628,1165.34,0.0608685,-0.647335,0.00759777,w,m
5189,FROM-TO,5189,0.928876,1,75.0669,-217.241,1165.46,0.0551153,-0.646705,0.00304611,w,m
5190,FROM-TO,5190,0.927468,1,75.0281,-218.371,1167.78,0.0468955,-0.64393,-0.00591098,w,m
5191,FROM-TO,5191,0.925975,1,74.8961,-218.868,1167.63,0.0399164,-0.644402,-0.011684,w,m
5192,FROM-TO,5192,0.925484,1,74.7403,-219.273,1166.56,0.0290462,-0.646258,-0.021629,w,m
5193,FROM-TO,5193,0.923994,1,74.4309,-219.31,1164.6,0.0308007,-0.647886,-0.0259222,w,m
5194,FROM-TO,5194,0.93275,1,73.9241,-218.564,1160.47,0.0301202,-0.647221,-0.0274641,w,m
5195,FROM-TO,5195,0.943175,1,73.3988,-217.824,1157.01,0.0318034,-0.645425,-0.0261174,w,m
5196,FROM-TO,5196,0.944423,1,72.7822,-216.799,1153.94,0.0388267,-0.64234,-0.0215579,w,m
5197,FROM-TO,5197,0.940708,1,72.5052,-216.039,1150.83,0.0399217,-0.642894,-0.0227423,w,m
5198,FROM-TO,5198,0.927755,1,72.0481,-214.909,1145.55,0.0352461,-0.64551,-0.0286656,w,m
5199,FROM-TO,5199,0.913369,1,71.5478,-213.326,1138.37,0.0305517,-0.647626,-0.0341075,w,m
5200,FROM-TO,5200,0.896543,1,71.0137,-211.565,1130.82,0.0281716,-0.651111,-0.0360679,w,m
5201,FROM-TO,5201,0.902252,1,70.0645,-208.891,1119.64,0.0159117,-0.654964,-0.0475064,w,m
5202,FROM-TO,5202,0.880842,1,69.3583,-206.769,1111.15,0.0130933,-0.654661,-0.0487449,w,m
5203,FROM-TO,5203,0.884678,1,68.6809,-205.266,1105.89,0.013429,-0.655419,-0.0453365,w,m
5204,FROM-TO,5204,0.889805,1,68.6804,-204.835,1104.76,0.0142381,-0.657268,-0.0453556,w,m
5205,FROM-TO,5205,0.893857,1,69.0632,-205.244,1106.87,0.00728511,-0.659466,-0.0525644,w,m
5206,FROM-TO,5206,0.899662,1,69.3664,-205.292,1106.47,0.00549681,-0.664604,-0.0590706,w,m
5207,FROM-TO,5207,0.901742,1,69.6512,-205.695,1108.82,0.00699229,-0.665367,-0.0606385,w,m
5208,FROM-TO,5208,0.901444,1,69.7399,-205.737,1110.52,0.00846161,-0.665458,-0.05928,w,m
5209,FROM-TO,5209,0.899441,1,69.7692,-205.794,1112.48,0.0133498,-0.664183,-0.0551149,w,m
5210,FROM-TO,5210,0.897173,1,69.772,-205.267,1112.44,0.0166261,-0.663636,-0.0516541,w,m
5211,FROM-TO,5211,0.904222,1,70.0658,-205.273,1115.39,0.0217689,-0.667241,-0.048711,w,m
5212,FROM-TO,5212,0.896457,1,70.1154,-204.553,1118.75,0.0331737,-0.666726,-0.0398539,w,m
5213,FROM-TO,5213,0.896484,1,70.2547,-203.788,1119.69,0.040606,-0.671943,-0.0329141,w,m
5214,FROM-TO,5214,0.902972,1,70.372,-203.407,1121.07,0.0443714,-0.673801,-0.0292886,w,m
5215,FROM-TO,5215,0.904763,1,70.7404,-202.856,1122.88,0.0473829,-0.676889,-0.0262895,w,m
322,FROM-TO,322,0.938334,1,-12.9583,-254.702,1316.76,-0.0983142,-0.423259,-0.0718983,w,w
323,FROM-TO,323,0.947296,1,-14.8605,-256.092,1317.03,-0.109502,-0.42032,-0.0832912,w,w
324,FROM-TO,324,0.954464,1,-17.5932,-258.181,1324.31,-0.110635,-0.393256,-0.0841997,w,w
325,FROM-TO,325,0.955623,1,-19.3384,-261.501,1337.1,-0.11944,-0.373164,-0.0932539,w,w
326,FROM-TO,326,0.95499,1,-20.8421,-267.603,1362.9,-0.132996,-0.352795,-0.0985355,w,w
327,FROM-TO,327,0.955156,1,-22.017,-270.416,1377.74,-0.135131,-0.331569,-0.103999,w,w
328,FROM-TO,328,0.941473,1,-22.6737,-271.336,1385.7,-0.128947,-0.323771,-0.102274,w,w
329,FROM-TO,329,0.93194,1,-21.6391,-265.821,1363.25,-0.112694,-0.358548,-0.103701,w,w
330,FROM-TO,330,0.924816,1,-21.2213,-264.991,1355.21,-0.115708,-0.356803,-0.10011,w,w
331,FROM-TO,331,0.917998,1,-19.4063,-261.22,1333.81,-0.115423,-0.384607,-0.103924,w,w
332,FROM-TO,332,0.926013,1,-18.1974,-260.47,1328.84,-0.115481,-0.397114,-0.106545,w,w
333,FROM-TO,333,0.925075,1,-17.7617,-262.643,1341,-0.11251,-0.382397,-0.0999115,w,w
334,FROM-TO,334,0.951485,1,-17.1339,-265.205,1358.12,-0.117964,-0.382336,-0.0909929,w,w
335,FROM-TO,335,0.959067,1,-16.6663,-262.29,1348.56,-0.101052,-0.381524,-0.0794989,w,w
336,FROM-TO,336,0.94697,1,-16.5707,-260.809,1339.94,-0.0614802,-0.38843,-0.0623052,w,w
337,FROM-TO,337,0.801349,1,-15.0414,-257.578,1321.71,-0.0402689,-0.405987,-0.0601802,w,w
338,FROM-TO,338,0.944156,1,-15.722,-255.76,1312.3,-0.0223303,-0.395782,-0.0498689,w,w
339,FROM-TO,339,0.898407,1,-16.3705,-261.552,1343.87,-0.00659242,-0.373239,-0.0412292,w,w
1787,FROM-TO,1787,0.907379,1,-41.0516,-265.043,1310.63,-0.154298,-0.203198,-0.179697,w,w
1788,FROM-TO,1788,0.913921,1,-41.2586,-268.356,1323.69,-0.162647,-0.21069,-0.187091,w,w
1789,FROM-TO,1789,0.922747,1,-40.2202,-263.594,1306.85,-0.120835,-0.222224,-0.188646,w,w
1790,FROM-TO,1790,0.823754,1,-39.4831,-258.67,1288.63,-0.106192,-0.226243,-0.18156,w,w
1791,FROM-TO,1791,0.863666,1,-38.5084,-256.014,1278.52,-0.10376,-0.241512,-0.18444,w,w
1792,FROM-TO,1792,0.877868,1,-38.0771,-255.012,1272.82,-0.108894,-0.242198,-0.179681,w,w
1793,FROM-TO,1793,0.887954,1,-38.0111,-255.435,1274.94,-0.111777,-0.246775,-0.183188,w,w
1794,FROM-TO,1794,0.885362,1,-38.119,-255.009,1274.35,-0.109555,-0.250392,-0.186578,w,w
1795,FROM-TO,1795,0.889062,1,-39.0034,-256.631,1285.37,-0.103684,-0.259212,-0.185126,w,w
1796,FROM-TO,1796,0.902131,1,-39.1594,-259.35,1302.18,-0.108381,-0.262077,-0.181725,w,w
1797,FROM-TO,1797,0.87756,1,-37.9684,-260.499,1302.42,-0.123205,-0.281103,-0.179685,w,w
1798,FROM-TO,1798,0.880741,1,-36.4589,-262.741,1308.22,-0.123229,-0.315848,-0.177638,w,w
1799,FROM-TO,1799,0.913839,1,-35.4611,-263.994,1311.08,-0.144281,-0.331002,-0.186101,w,w
1800,FROM-TO,1800,0.897521,1,-34.947,-265.97,1320.06,-0.147056,-0.326422,-0.195223,w,w
1801,FROM-TO,1801,0.911869,1,-34.3672,-269.613,1331.09,-0.173436,-0.339225,-0.212002,w,w
1802,FROM-TO,1802,0.89429,1,-35.2558,-270.642,1335.87,-0.153515,-0.3353,-0.204781,w,w
1803,FROM-TO,1803,0.912562,1,-35.7384,-268.509,1331.42,-0.131776,-0.346449,-0.203686,w,w
1804,FROM-TO,1804,0.8686,1,-35.8592,-267.657,1330.5,-0.140056,-0.352764,-0.211352,w,w
2573,FROM-TO,2573,0.925822,1,-36.0546,-268.937,1362.74,-0.0635179,-0.358521,-0.171327,w,w
2574,FROM-TO,2574,0.934274,1,-36.0519,-268.407,1365.7,-0.0509847,-0.355696,-0.1602,w,w
2575,FROM-TO,2575,0.940956,1,-36.4439,-263.394,1349.91,-0.0175478,-0.346612,-0.138582,w,w
