time_stamp,word,frame,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz,speaker_gender,listener_gender
4751,AREA,4751,0.830432,1,-37.012,-325.817,1573.61,-0.168913,-0.336291,-0.00612913,w,m
4752,AREA,4752,0.822818,1,-37.8214,-324.186,1564.36,-0.175237,-0.31775,-0.0106277,w,m
4753,AREA,4753,0.830795,1,-38.8016,-322.429,1554.57,-0.182406,-0.29919,-0.0139166,w,m
4754,AREA,4754,0.821399,1,-39.8637,-320.396,1543.53,-0.194889,-0.285451,-0.0190293,w,m
4755,AREA,4755,0.806052,1,-41.192,-319.754,1538.83,-0.2083,-0.269674,-0.0216206,w,m
4756,AREA,4756,0.807381,1,-42.7667,-319.538,1536.09,-0.221297,-0.254615,-0.0250009,w,m
4757,AREA,4757,0.764796,1,-44.1984,-319.202,1532.27,-0.240194,-0.248312,-0.0296409,w,m
4758,AREA,4758,0.77233,1,-45.671,-317.644,1524.72,-0.256535,-0.237554,-0.0321288,w,m
4759,AREA,4759,0.761686,1,-46.1586,-316.176,1517.38,-0.272077,-0.238725,-0.032706,w,m
4760,AREA,4760,0.790994,1,-46.1134,-314.141,1506.43,-0.294589,-0.239384,-0.03373,w,m
4761,AREA,4761,0.790627,1,-45.8737,-313.549,1500.61,-0.307962,-0.249374,-0.0359344,w,m
4762,AREA,4762,0.807731,1,-45.1473,-313.458,1495.01,-0.323406,-0.278678,-0.0450841,w,m
4763,AREA,4763,0.787675,1,-44.2928,-313.295,1489.96,-0.328544,-0.297077,-0.0521417,w,m
4764,AREA,4764,0.80372,1,-43.6826,-313.854,1488.57,-0.340426,-0.305169,-0.0577781,w,m
4765,AREA,4765,0.809911,1,-43.2606,-314.381,1487.54,-0.350218,-0.310981,-0.0665417,w,m
4766,AREA,4766,0.796279,1,-42.8917,-314.946,1488.19,-0.348792,-0.321994,-0.0741656,w,m
4767,AREA,4767,0.802486,1,-42.5454,-315.227,1487.41,-0.350652,-0.333916,-0.0816904,w,m
4768,AREA,4768,0.832418,1,-42.5327,-315.271,1485.55,-0.357858,-0.333485,-0.0871922,w,m
4769,AREA,4769,0.818749,1,-42.7498,-315.447,1484.66,-0.368396,-0.334917,-0.0930634,w,m
4770,AREA,4770,0.833532,1,-43.2727,-314.231,1478.55,-0.369213,-0.331344,-0.0989398,w,m
4771,AREA,4771,0.840177,1,-44.1487,-313.363,1473.35,-0.372972,-0.32838,-0.110083,w,m
4772,AREA,4772,0.835575,1,-45.5132,-314.262,1477.25,-0.36409,-0.318684,-0.11713,w,m
4773,AREA,4773,0.839275,1,-46.7213,-314.076,1477.84,-0.353665,-0.311063,-0.125448,w,m
4774,AREA,4774,0.853727,1,-47.8831,-313.69,1478.19,-0.343697,-0.298932,-0.13238,w,m
