time_stamp,word,frame,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz,speaker_gender,listener_gender
1804,PT:LBUOY,1804,0.837819,1,-123.722,-295.661,1456.58,0.269588,-0.724104,0.0868924,m,w
1805,PT:LBUOY,1805,0.81955,1,-124.851,-300.452,1467.56,0.300673,-0.720697,0.0990365,m,w
1806,PT:LBUOY,1806,0.763159,1,-126.798,-307.444,1493.23,0.317298,-0.712692,0.106132,m,w
1807,PT:LBUOY,1807,0.72515,1,-128.05,-311.53,1512.13,0.331065,-0.706206,0.112468,m,w
1813,PT:LBUOY,1813,0.813278,1,-133.566,-330.776,1628.77,0.108923,-0.680029,-0.00966799,m,w
1815,PT:LBUOY,1815,0.813082,1,-137.319,-316.407,1539.57,-0.0252968,-0.641171,-0.0765992,m,w
1816,PT:LBUOY,1816,0.866504,1,-135.481,-287.797,1381.31,-0.144472,0.0855113,-0.0432619,m,w
1817,PT:LBUOY,1817,0.854418,1,-136.763,-284.915,1345.53,-0.152706,0.180182,-0.0204914,m,w
1818,PT:LBUOY,1818,0.808461,1,-138.625,-283.746,1316.41,-0.172705,0.315801,0.0147529,m,w
1819,PT:LBUOY,1819,0.728343,1,-139.113,-285.636,1301.66,-0.219375,0.393918,0.0597318,m,w
1820,PT:LBUOY,1820,0.781276,1,-141.857,-296.091,1326.98,-0.25761,0.386451,0.0887771,m,w
1821,PT:LBUOY,1821,0.89951,1,-145.505,-308.164,1362.58,-0.260665,0.358199,0.0998462,m,w
1822,PT:LBUOY,1822,0.927112,1,-144.225,-310.945,1361.69,-0.248799,0.339666,0.111564,m,w
1823,PT:LBUOY,1823,0.935486,1,-140.44,-310.216,1348.93,-0.242072,0.292848,0.120129,m,w
1824,PT:LBUOY,1824,0.92986,1,-135.085,-305.272,1321.75,-0.237373,0.21733,0.136079,m,w
1888,PT:LBUOY,1888,0.936604,1,-127.233,-332.297,1322.72,-0.0112322,0.383596,-0.141896,m,w
1889,PT:LBUOY,1889,0.939027,1,-128.183,-330.742,1328.38,0.0062985,0.370933,-0.152202,m,w
1890,PT:LBUOY,1890,0.948163,1,-128.882,-328.578,1335.58,0.0466368,0.353169,-0.174,m,w
1891,PT:LBUOY,1891,0.964403,1,-128.693,-323.224,1330.33,0.0833145,0.366569,-0.187882,m,w
1892,PT:LBUOY,1892,0.968477,1,-128.278,-317.77,1324.87,0.111727,0.37948,-0.200289,m,w
1893,PT:LBUOY,1893,0.972207,1,-128.199,-313.93,1324.08,0.114218,0.385237,-0.207199,m,w
1894,PT:LBUOY,1894,0.975438,1,-128.319,-309.338,1321.35,0.118285,0.383989,-0.216713,m,w
1895,PT:LBUOY,1895,0.974257,1,-129.125,-307.336,1322.13,0.101128,0.373799,-0.218937,m,w
