time_stamp,word,frame,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz,speaker_gender,listener_gender
4613,TEACH,4613,0.972895,1,-52.4098,-245.937,1170.17,-0.174209,-0.365423,-0.158964,m,w
4614,TEACH,4614,0.973592,1,-52.9903,-246.448,1170.41,-0.182639,-0.362135,-0.164849,m,w
4615,TEACH,4615,0.973516,1,-53.6911,-247.035,1170.97,-0.185678,-0.356891,-0.168009,m,w
4616,TEACH,4616,0.971062,1,-54.3593,-247.3,1171.08,-0.191932,-0.349048,-0.171277,m,w
4617,TEACH,4617,0.969083,1,-55.092,-247.838,1172.25,-0.197579,-0.34516,-0.175574,m,w
4618,TEACH,4618,0.969694,1,-55.5067,-248.038,1171.31,-0.20143,-0.343131,-0.180594,m,w
4619,TEACH,4619,0.970384,1,-56.0014,-248.349,1171.84,-0.204028,-0.343288,-0.183479,m,w
4620,TEACH,4620,0.97246,1,-56.4841,-249.31,1174.95,-0.208141,-0.340479,-0.187543,m,w
4621,TEACH,4621,0.971373,1,-56.8335,-249.176,1174.26,-0.208767,-0.338798,-0.188551,m,w
4622,TEACH,4622,0.970988,1,-57.4149,-249.588,1175.56,-0.209545,-0.335246,-0.190482,m,w
4623,TEACH,4623,0.969512,1,-57.7493,-249.945,1177.01,-0.209127,-0.332113,-0.190625,m,w
4624,TEACH,4624,0.970347,1,-57.8103,-249.903,1176.7,-0.209767,-0.331953,-0.191438,m,w
4625,TEACH,4625,0.970429,1,-57.8645,-249.898,1176.59,-0.210193,-0.33134,-0.192251,m,w
4626,TEACH,4626,0.969462,1,-57.9265,-249.768,1176.7,-0.204547,-0.33178,-0.193178,m,w
4627,TEACH,4627,0.968089,1,-58.1259,-249.486,1176.47,-0.201615,-0.329792,-0.194541,m,w
4628,TEACH,4628,0.969913,1,-58.1509,-249.507,1176.83,-0.200592,-0.33046,-0.194264,m,w
4629,TEACH,4629,0.970881,1,-58.0119,-248.979,1175.98,-0.194898,-0.332608,-0.193697,m,w
4630,TEACH,4630,0.969734,1,-57.6665,-248.445,1174.67,-0.191912,-0.335271,-0.192005,m,w
4631,TEACH,4631,0.967305,1,-57.2788,-247.81,1173.35,-0.186329,-0.339051,-0.189523,m,w
4632,TEACH,4632,0.968809,1,-56.96,-247.493,1172.83,-0.18374,-0.343282,-0.187665,m,w
4633,TEACH,4633,0.97043,1,-56.6245,-247.192,1172,-0.178359,-0.348606,-0.18565,m,w
4634,TEACH,4634,0.972486,1,-56.5566,-247.425,1174.12,-0.173358,-0.348506,-0.183357,m,w
4635,TEACH,4635,0.973412,1,-56.4105,-247.361,1174.95,-0.170108,-0.348618,-0.180249,m,w
4636,TEACH,4636,0.972364,1,-56.3459,-247.457,1176.47,-0.165615,-0.349606,-0.178527,m,w
4637,TEACH,4637,0.972798,1,-56.2743,-247.253,1176.79,-0.162404,-0.350136,-0.17855,m,w
