time_stamp,word,frame,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz,speaker_gender,listener_gender
915,ONE,915,0.725227,1,-39.3543,-282.848,1337.17,0.0856492,-0.215269,-0.048755,w,m
916,ONE,916,0.906591,1,-38.012,-279.35,1322.29,0.148698,-0.232732,-0.0192499,w,m
917,ONE,917,0.922945,1,-39.7574,-273.698,1308.33,0.173461,-0.211623,0.00233393,w,m
918,ONE,918,0.89561,1,-39.9887,-266.469,1291.07,0.190072,-0.206944,0.0145393,w,m
919,ONE,919,0.934555,1,-36.4963,-261.653,1276.44,0.195238,-0.23139,0.0228977,w,m
920,ONE,920,0.941727,1,-31.6302,-261.632,1276.38,0.188408,-0.247663,0.0227733,w,m
921,ONE,921,0.941767,1,-27.0249,-263.086,1282.1,0.180128,-0.248977,0.0237442,w,m
922,ONE,922,0.954574,1,-21.4423,-263.982,1279.82,0.182118,-0.25997,0.0344321,w,m
923,ONE,923,0.920152,1,-16.4005,-264.564,1273.14,0.1697,-0.320329,0.0782538,w,m
924,ONE,924,0.809003,1,-0.0753168,-279.081,1317.04,0.0849179,0.0908543,-0.00445229,w,m
925,ONE,925,0.88927,1,-1.7256,-273.613,1283.08,0.0568967,0.11986,0.0254519,w,m
926,ONE,926,0.903838,1,-2.46178,-277.769,1286.59,0.0359736,0.13444,0.0372676,w,m
927,ONE,927,0.870763,1,-3.65441,-284.743,1296.75,0.0208938,0.0863262,0.0167251,w,m
929,ONE,929,0.872685,1,-8.3511,-303.961,1348.61,0.136144,0.1796,-0.0281108,w,m
930,ONE,930,0.891535,1,-10.7477,-301.83,1340.09,0.117096,0.232031,-0.0100137,w,m
931,ONE,931,0.87762,1,-14.3791,-294.563,1313.1,0.1676,0.295375,-0.0274284,w,m
932,ONE,932,0.856968,1,-18.4171,-290.272,1294.25,0.157769,0.330312,-0.0386671,w,m
933,ONE,933,0.822876,1,-18.6453,-296.861,1317.8,0.117821,0.278628,-0.0492457,w,m
934,ONE,934,0.912075,1,-19.8983,-295.278,1319.44,0.168541,0.287882,-0.0351408,w,m
935,ONE,935,0.892423,1,-21.4661,-293.4,1318.35,0.175189,0.303065,-0.0319152,w,m
809,ONE,809,0.92211,1,-112.787,-239.49,1305.56,0.175174,0.537688,-0.118867,m,w
