time_stamp,word,frame,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz
1,GOOD,1,0.859198,1,-60.6371,-229.863,1115.32,-0.0111733,0.152015,0.143702
2,GOOD,2,0.853679,1,-62.4417,-233.755,1125.75,-0.0339545,0.197632,0.167319
3,GOOD,3,0.913248,1,-65.0309,-238.248,1143.21,-0.0202614,0.336166,0.193098
4,GOOD,4,0.91547,1,-67.2178,-238.552,1157.24,0.0165793,0.413682,0.193261
5,GOOD,5,0.908263,1,-69.4617,-236.237,1175.55,0.0466613,0.503592,0.174146
6,GOOD,6,0.913265,1,-70.7415,-235.522,1182.98,0.0296296,0.546607,0.170265
7,GOOD,7,0.911684,1,-71.4514,-236.45,1182.61,-0.000756234,0.545944,0.179217
8,GOOD,8,0.906491,1,-71.8529,-236.818,1180.38,-0.0166195,0.547068,0.185808
9,GOOD,9,0.916877,1,-71.7738,-236.983,1186.56,-0.00843824,0.54595,0.183066
10,GOOD,10,0.774247,1,-66.8462,-212.725,1076.26,0.0808307,0.143881,0.0744603
11,GOOD,11,0.800458,1,-66.6015,-214.809,1085.19,0.023862,0.133543,0.0932473
12,GOOD,12,0.843316,1,-64.1722,-214.94,1079.26,-0.0395733,0.101204,0.10585
13,GOOD,13,0.883213,1,-60.9137,-213.713,1073.34,-0.0575571,0.064261,0.112355
14,GOOD,14,0.876553,1,-57.3231,-212.016,1070.1,-0.0607772,0.0109379,0.112888
15,GOOD,15,0.809502,1,-54.4583,-210.637,1069.02,-0.0669053,-0.044026,0.112081
16,GOOD,16,0.806152,1,-52.6228,-215.872,1092.17,-0.0913481,-0.143637,0.098727
17,GOOD,17,0.873534,1,-42.5848,-227.994,1138.29,0.0445223,0.331676,0.0571695
18,GOOD,18,0.863072,1,-40.5557,-230.47,1151.06,0.00983919,0.343103,0.0776591
19,GOOD,19,0.886561,1,-37.6295,-231.434,1154.67,-0.0166019,0.332126,0.0927841
