time_stamp,word,frame,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz
68,,68,0.820352,1,-74.0467,-234.318,1379.67,0.097429,0.562936,-0.124355
69,,69,0.791838,1,-79.3844,-235.957,1378.27,0.103574,0.651924,-0.0805316
70,,70,0.755427,1,-85.4694,-235.668,1371.4,0.11718,0.68202,-0.0625881
71,,71,0.96207,1,-100.987,-226.651,1337.19,-0.0439606,0.296432,-0.0654505
72,,72,0.95831,1,-106.376,-227.205,1341.21,-0.0283777,0.367308,-0.0626436
73,,73,0.939766,1,-110.603,-226.672,1336.4,0.0058565,0.467145,-0.0411592
74,,74,0.914591,1,-112.43,-222.496,1311.05,0.0274554,0.487089,-0.0152306
75,,75,0.790123,1,-115.052,-219.245,1294.24,0.0647793,0.479042,-0.0281968
76,,76,0.946721,1,-148.06,-223.303,1332.75,-0.0610049,0.399166,-0.0459605
77,,77,0.928411,1,-149.787,-220.379,1304.94,-0.0235885,0.479977,-0.0331634
78,,78,0.931996,1,-148.95,-218.297,1266.23,-0.0430079,0.50142,0.00426576
79,,79,0.777809,1,-148.577,-219.931,1238.31,-0.0989702,0.531904,0.0197627
80,,80,0.945718,1,-172.063,-237.346,1258.19,-0.046159,0.392054,-0.0280256
81,,81,0.914123,1,-174.175,-244.864,1256.64,-0.0940311,0.463089,-0.018451
82,,82,0.831117,1,-168.88,-242.465,1210.81,-0.212762,0.500052,0.0193117
83,,83,0.84619,1,-163.286,-244.097,1188.78,-0.317704,0.500202,0.0730802
84,,84,0.838626,1,-160.277,-245.693,1204.87,-0.314114,0.469267,0.100575
85,,85,0.748384,1,-161.611,-247.048,1242.25,-0.201863,0.360857,0.11062
86,,86,0.944775,1,-136.233,-229.123,1251.74,-0.00513169,0.419894,-0.0108422
87,,87,0.91483,1,-137.764,-229.583,1292.3,0.0480029,0.463501,-0.0221497
88,,88,0.92333,1,-135.552,-234.195,1315.62,-0.0106639,0.455742,0.0073025
89,,89,0.910752,1,-131.071,-236.856,1313.32,-0.0603587,0.409971,0.0524967
90,,90,0.89561,1,-127.055,-237.712,1320.26,-0.0665879,0.338147,0.0761746
91,,91,0.881859,1,-126.975,-243.425,1367.41,-0.0117622,0.253643,0.0879449
92,,92,0.93742,1,-100.845,-222.094,1271.99,0.0594715,0.201116,-0.00898493
93,,93,0.921344,1,-101.474,-229.309,1326.69,0.0885877,0.196612,0.0116818
94,,94,0.750929,1,-100.623,-235.618,1371.38,0.0791084,0.07212,0.0377287
95,,95,0.927464,1,-80.4913,-225.874,1328.49,0.0463718,0.334438,0.00305926
96,,96,0.911773,1,-77.4619,-228.168,1351.42,0.0626596,0.342007,0.0221976
97,,97,0.905991,1,-74.2149,-230.655,1378.29,0.116434,0.334796,0.0352362
98,,98,0.918467,1,-71.9086,-234.155,1412.93,0.134596,0.29947,0.040922
99,,99,0.926827,1,-70.8478,-239.773,1459.11,0.143191,0.244995,0.0420152
100,,100,0.932264,1,-69.9638,-244.442,1497.55,0.150813,0.204623,0.0409509
101,PT:PRO3SG,101,0.933607,1,-68.4946,-246.528,1514.26,0.157813,0.17994,0.0401715
102,PT:PRO3SG,102,0.823891,1,-67.261,-249.181,1528.7,0.13038,0.161352,0.0408779
103,PT:PRO3SG,103,0.812322,1,-65.5548,-251.942,1542.46,0.0827068,0.111064,0.0362836
104,PT:PRO3SG,104,0.832968,1,-64.6349,-252.126,1542.09,0.0616715,0.074935,0.0332405
105,PT:PRO3SG,105,0.816226,1,-64.6666,-252.429,1543.86,0.0624772,0.0510305,0.0349447
106,PT:PRO3SG,106,0.817904,1,-65.6807,-252.376,1546.42,0.0657927,0.058013,0.0309932
107,PT:PRO3SG,107,0.825288,1,-67.4719,-252.779,1552.03,0.0664873,0.121204,0.0191322
108,PT:PRO3SG,108,0.952562,1,-69.6024,-251.246,1547.47,0.061379,0.225371,0.0177136
109,PT:PRO3SG,109,0.952701,1,-71.8352,-247.395,1522.08,0.0777508,0.410666,0.0221727
110,PT:PRO3SG,110,0.950377,1,-72.898,-239.023,1467.91,0.0641565,0.510974,0.0384923
111,PT:PRO3SG,111,0.733514,1,-74.2538,-231.077,1421.46,0.0544757,0.558633,0.0523991
112,PT:PRO3SG,112,0.773574,1,-76.1015,-227.521,1404.82,0.0133294,0.659297,0.111188
113,PT:PRO3SG,113,0.763141,1,-78.5311,-225.831,1396.97,0.000995551,0.68848,0.137601
114,PT:PRO3SG,114,0.782431,1,-80.6409,-226.389,1398.71,-0.000747013,0.684854,0.140069
115,PT:PRO3SG,115,0.788382,1,-81.8675,-227.043,1401.14,-0.001453,0.682059,0.139963
116,PT:PRO3SG,116,0.772988,1,-82.7213,-227.366,1403.98,-0.000615094,0.680941,0.134145
117,PT:PRO3SG,117,0.765914,1,-83.0012,-226.524,1405.12,0.00347473,0.679619,0.125435
118,PT:PRO3SG,118,0.755851,1,-82.5317,-222.947,1389.38,0.0300517,0.688906,0.104087
119,PT:PRO3SG,119,0.740283,1,-81.9524,-220.226,1376.49,0.0475079,0.699081,0.0868803
120,PT:PRO3SG,120,0.779569,1,-81.8661,-219.77,1372.73,0.0477138,0.701117,0.0808864
121,PT:PRO3SG,121,0.793994,1,-82.6647,-221.755,1381.27,0.041297,0.697966,0.085845
122,PT:PRO3SG,122,0.805082,1,-83.8339,-226.311,1404.41,0.0258642,0.692006,0.100966
123,PT:PRO3SG,123,0.823334,1,-84.2116,-229.825,1422.95,0.0300615,0.682799,0.104607
124,PT:PRO3SG,124,0.831034,1,-83.9022,-232.483,1440.91,0.0304692,0.683095,0.109055
125,PT:PRO3SG,125,0.822884,1,-82.663,-234.165,1451.02,0.0313325,0.680939,0.106639
126,PT:PRO3SG,126,0.809144,1,-81.0961,-235.656,1459.46,0.0311687,0.68036,0.107627
127,PT:PRO3SG,127,0.804517,1,-79.1383,-237.161,1464.31,0.0321304,0.680369,0.108941
128,PT:PRO3SG,128,0.798969,1,-76.9998,-239.379,1471.07,0.0225457,0.680248,0.116987
129,PT:PRO3SG,129,0.784979,1,-74.8322,-240.338,1473.32,0.0236094,0.680869,0.116988
130,PT:PRO3SG,130,0.768411,1,-72.5227,-242.166,1480.56,0.0204403,0.677461,0.119291
131,PT:PRO3SG,131,0.786377,1,-70.4728,-244.003,1488.15,0.00904724,0.681133,0.129227
132,PT:PRO3SG,132,0.764832,1,-68.2286,-244.208,1488.72,0.00664265,0.683095,0.134666
133,PT:PRO3SG,133,0.768575,1,-66.3018,-243.102,1485.26,0.0123284,0.690851,0.135485
134,PT:PRO3SG,134,0.773112,1,-64.221,-241.527,1484.33,0.0181919,0.689631,0.139365
135,PT:PRO3SG,135,0.766765,1,-62.6717,-239.33,1483.72,0.0203223,0.688513,0.139543
136,PT:PRO3SG,136,0.758732,1,-61.02,-236.023,1478.59,0.0226083,0.692807,0.143779
137,PT:PRO3SG,137,0.761775,1,-60.0783,-232.735,1475.42,0.0254589,0.690645,0.142627
138,PT:PRO3SG,138,0.771742,1,-59.2817,-229.038,1466.75,0.0261334,0.694968,0.144985
139,PT:PRO3SG,139,0.794615,1,-58.7636,-226.509,1462.39,0.0234209,0.692395,0.149354
140,PT:PRO3SG,140,0.800577,1,-58.6769,-224.284,1457.19,0.021108,0.695515,0.15146
141,PT:PRO3SG,141,0.808163,1,-58.6182,-222.953,1454.04,0.0185567,0.693412,0.154381
142,PT:PRO3SG,142,0.807949,1,-58.7361,-222.746,1454.11,0.016113,0.691893,0.155223
143,PT:PRO3SG,143,0.810465,1,-58.8768,-222.434,1453.57,0.0152249,0.690686,0.154372
144,PT:PRO3SG,144,0.823147,1,-58.7957,-221.325,1449.81,0.0115097,0.691796,0.154597
145,PT:PRO3SG,145,0.791439,1,-58.2607,-218.205,1437.9,0.00623632,0.695083,0.157515
146,PT:PRO3SG,146,0.770104,1,-56.2287,-208.338,1389.75,0.0170618,0.713044,0.143421
