time_stamp,word,frame,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz
1,GOOD,1,0.951733,1,-26.4176,-179.955,1510.79,-0.0161643,0.130592,0.0200269
2,GOOD,2,0.956807,1,-25.0824,-179.984,1512.16,-0.0236521,0.129719,0.022073
3,GOOD,3,0.962104,1,-24.4362,-179.813,1511.8,-0.025867,0.139285,0.0262397
4,GOOD,4,0.961815,1,-23.6124,-179.739,1513.07,-0.025594,0.137915,0.0289983
5,GOOD,5,0.963119,1,-22.8432,-179.71,1513.15,-0.0281373,0.139043,0.0314907
6,GOOD,6,0.963457,1,-22.1324,-179.57,1512.57,-0.0300966,0.138482,0.0341448
7,GOOD,7,0.964614,1,-21.5299,-179.329,1509.75,-0.0280772,0.136103,0.0348094
8,GOOD,8,0.96593,1,-20.8297,-178.744,1504.62,-0.0298728,0.136439,0.0373448
9,GOOD,9,0.965778,1,-20.7417,-178.656,1504,-0.0300505,0.137101,0.0375072
10,GOOD,10,0.965061,1,-20.6496,-178.484,1503.44,-0.0313874,0.137335,0.0392552
11,GOOD,11,0.965239,1,-20.6583,-178.435,1503.29,-0.0315637,0.138014,0.0390809
12,GOOD,12,0.964028,1,-20.7286,-178.318,1502.56,-0.032229,0.139493,0.0390708
13,GOOD,13,0.966297,1,-20.9877,-178.221,1503.03,-0.0310487,0.142712,0.0390436
14,GOOD,14,0.966872,1,-21.0521,-177.639,1499.81,-0.0294863,0.142196,0.0384753
15,GOOD,15,0.966245,1,-21.3411,-177.478,1501.14,-0.0298478,0.142362,0.039547
16,GOOD,16,0.96527,1,-21.6489,-177.629,1503.66,-0.0296109,0.141632,0.0400154
17,GOOD,17,0.966312,1,-21.7273,-177.603,1503.98,-0.0282514,0.141956,0.0398683
18,GOOD,18,0.965857,1,-21.7843,-177.616,1504.41,-0.0277871,0.142004,0.0398402
19,GOOD,19,0.965337,1,-21.8248,-177.652,1504.82,-0.0279627,0.142283,0.0397534
20,GOOD,20,0.965259,1,-21.8644,-177.761,1505.69,-0.0282452,0.141997,0.0396034
21,GOOD,21,0.964415,1,-21.8996,-177.857,1506.27,-0.0284541,0.141853,0.0392966
22,GOOD,22,0.963758,1,-21.927,-177.893,1505.88,-0.0285619,0.141752,0.0383371
23,GOOD,23,0.964971,1,-21.8966,-177.945,1506.09,-0.0294609,0.140126,0.0380597
24,GOOD,24,0.964418,1,-21.6329,-177.958,1506.19,-0.0302351,0.134716,0.0384362
25,GOOD,25,0.964906,1,-19.839,-178.844,1511.86,-0.0267734,0.0977843,0.0411987
26,GOOD,26,0.959399,1,-13.3384,-180.681,1524.8,-0.05616,0.0353679,0.0380873
27,GOOD,27,0.922631,1,-6.24034,-178.297,1495.42,-0.0892931,-0.0357965,0.0294333
28,GOOD,28,0.83991,1,-0.0951041,-175.709,1470.03,-0.111361,-0.0923229,0.0256571
29,GOOD,29,0.833991,1,5.66689,-175.008,1456.88,-0.141198,-0.190724,0.0144317
30,GOOD,30,0.940087,1,11.9412,-178.684,1481.01,-0.077077,-0.29364,-0.00972228
31,GOOD,31,0.960983,1,14.8983,-181.731,1502.63,-0.0430989,-0.356989,-0.0404865
32,GOOD,32,0.962811,1,14.0876,-184.241,1526.3,-0.0163617,-0.35566,-0.0541448
33,GOOD,33,0.972498,1,12.6037,-184.636,1532.45,0.00767568,-0.35085,-0.0603448
34,GOOD,34,0.977618,1,10.8313,-184.053,1530.55,0.0322038,-0.363785,-0.0584276
35,GOOD,35,0.975864,1,8.88527,-184.059,1533,0.0343645,-0.37048,-0.0575093
36,GOOD,36,0.976065,1,6.61625,-184.504,1531.81,0.0246093,-0.375651,-0.060669
37,GOOD,37,0.971213,1,4.38692,-185.873,1535.53,0.0079629,-0.38183,-0.0615066
38,GOOD,38,0.967646,1,2.0037,-187.181,1537.49,-0.0156659,-0.384118,-0.0649415
39,GOOD,39,0.968178,1,-0.728367,-187.917,1538.17,-0.0153607,-0.381871,-0.065486
40,GOOD,40,0.973469,1,-2.97655,-188.037,1538.12,-0.0163976,-0.384234,-0.0694406
41,GOOD,41,0.973894,1,-4.54307,-186.949,1535.84,-0.0140244,-0.393293,-0.0725821
42,GOOD,42,0.977111,1,-5.3754,-185.853,1535.91,-0.010124,-0.403228,-0.0751805
43,GOOD,43,0.977638,1,-5.77511,-184.111,1530.22,0.000316479,-0.406663,-0.0791259
44,GOOD,44,0.980006,1,-5.88061,-182.359,1521.3,0.0102853,-0.413185,-0.0781008
45,GOOD,45,0.98105,1,-6.07572,-181.514,1517.81,0.0144571,-0.409676,-0.0775026
46,GOOD,46,0.979497,1,-6.24551,-180.865,1514.87,0.0154292,-0.406962,-0.0768035
47,GOOD,47,0.980233,1,-6.23598,-180.731,1514.16,0.0158761,-0.407669,-0.0764328
48,GOOD,48,0.981146,1,-5.83505,-180.197,1510.41,0.0138222,-0.406596,-0.0751315
49,GOOD,49,0.980598,1,-5.26946,-179.913,1509.55,0.0150227,-0.4071,-0.0726007
50,GOOD,50,0.980927,1,-4.63104,-179.776,1510.25,0.0117451,-0.406929,-0.0724714
