uniquewords,Repetitions
AGE-SEVEN,3
AMAZED,3
APPROXIMATE,3
AUNT,3
AUSTRALIA,3
BREATHE,3
BROWN,3
DIRECTIONS,3
DISAPPOINT,3
DREAM,3
DSSSPHERE,3
EGYPT,3
EMIT,3
EMOTION,3
FACE,3
FEED,3
FOUR,3
G:CA:SQUEEZES-HAND-TIGHTLY,3
GO-WITH,3
GRAB,3
HEART,3
ICE-SKATING,3
LECTURE,3
LOVE,3
MENINGITIS,3
MISERABLE,3
MOVE-PIVOT,3
ONCE,3
ONE-IS-AHEAD,3
PT:POSS3PL,3
PUT-FEET-UP,3
RED,3
SELF,3
SERVICE,3
SHOULDER,3
SLOW,3
SN:RODDYRED,3
SOON,3
STRANGE,3
TAKE,3
TOGETHER,3
TOWN,3
TRAIN,3
TWELVE,3
UPSET,3
WAVE-HAND,3
WELL,3
WHITE,3
WHO,3
WORD,3
WRONG,3
YESTERDAY,3
/DSSSPHERE,2
/EMIT,2
/G:CA:TRYING-TO-MOVE-PAPER-TO-READ,2
ABOUT,2
ACCEPT,2
ADORE,2
AEROPLANE,2
AGE-THREE,2
AGREE,2
ANESTHETISE,2
ANYTHING,2
ANYWAY,2
APPLAUD,2
ARRANGE,2
AUSTRIA,2
BEAR,2
BECAUSE,2
BETTER,2
BOMB,2
BOOK,2
BORING,2
BOTTLE,2
BOWL,2
BUSH,2
BY,2
CALLISTHENICS,2
CAR-PARK,2
CARAVAN,2
CASTLE,2
CENTRE,2
CHEAP,2
CLOCK-INTERVAL,2
COAT,2
COLD,2
COLLAPSE,2
COMMUNICATION-BREAKDOWN,2
COMPETITION,2
CONFUSE,2
CONTRACTIONS,2
CONTROL,2
COOK,2
COURTING,2
COUSIN,2
CRAM,2
CRASH,2
DAY,2
DEEP,2
DEGREE,2
DEPRESSED,2
DROP,2
ECG,2
EIGHTEEN,2
ELECTRICITY,2
EMBARRASSED,2
ENCOURAGE,2
ENGLAND,2
ENOUGH,2
ESCAPE,2
EVALUATE,2
EXACT,2
EXCUSE,2
EXPERIENCE,2
EXPLOSION,2
EXPRESS,2
EXPRESSION,2
EXTRACT,2
FIGURE-OUT,2
FILM,2
FIRE,2
FORWARD,2
FRUSTRATED,2
FS:,2
FS:A,2
FS:ABOUTBOU,2
FS:AER,2
FS:AHEAD,2
FS:ANTONIA,2
FS:AQ,2
FS:AYR,2
FS:B-BRONZE,2
FS:BBC,2
FS:BEENBEN,2
FS:BENONE,2
FS:BENONEBELONE,2
FS:BLACKIE,2
FS:BLAST,2
FS:BOARDING,2
FS:BRATISLAVA,2
FS:BUT,2
FS:CANARYCARNARY,2
FS:CASTLECASTE,2
FS:CATS,2
FS:D-DEAF,2
FS:DALLY,2
FS:DANIEL,2
FS:DAUGHTERDAU,2
FS:DAY,2
FS:DAYDY,2
FS:DEAF,2
FS:DONALDSONS,2
FS:DOWNHILL,2
FS:DUE,2
FS:DUKEDKE,2
FS:DUKEDUK,2
FS:ECG,2
FS:ELLA,2
FS:EX,2
FS:FEBRUARYFB,2
FS:FLU,2
FS:FOR,2
FS:GIRVAN,2
FS:GO,2
FS:HENDERSON,2
FS:HERON,2
FS:HOUSE,2
FS:INDECIPHERABLEDH,2
FS:ITV,2
FS:JANUARYJAN,2
FS:JOHN,2
FS:KEIRA,2
FS:LADYLD,2
FS:LANGSIDE,2
FS:LANZAROTELANZRAOTE,2
FS:LINGUS,2
FS:MAP,2
FS:MISTERMR,2
FS:NDCS,2
FS:NIGEL,2
FS:NOTNN,2
FS:NURSERY,2
FS:OCTOBEROCT,2
FS:OFF,2
FS:OMAGHOMG,2
FS:OMAGHOMGH,2
FS:ON,2
FS:OUTSIDEOUSIDE,2
FS:P-PAGE,2
FS:PARENTSPAREN,2
FS:PUNJABIPJ,2
FS:Q-QUARTER,2
FS:RED,2
FS:REDERICK,2
FS:RODDY,2
FS:ROW,2
FS:SALT,2
FS:SASLIC,2
FS:SATURDAYSAT,2
FS:SCHOOL,2
FS:SEA,2
FS:SHARON,2
FS:SHEETS,2
FS:SO,2
FS:SON,2
FS:SPEECHSPECH,2
FS:STOBHILLSTBHILL,2
FS:SUFFOLK,2
