uniquewords,Repetitions
FLAT-SURFACE,4
FRIDAY,4
FRIGHTENED,4
FS:C-COTTAGE,4
FS:I,4
FS:MAY,4
FS:P-POUND,4
FS:SADDAM,4
FS:SUGAR,4
FS:TOM,4
G:CA:CAT-CLAWS-ON-TROUSERS,4
G:CA:CAT-GOING-UP-THE-LADDER,4
G:CA:ZOMBIE,4
GAME,4
GOLD,4
GRAB,4
GREEDY,4
GROUP,4
HORNS,4
KANGAROO,4
KITCHEN,4
LAPTOP,4
LAST-WEEK-TWO,4
LATE,4
LBUOY-FOUR,4
LEARN,4
LIKE-NOT,4
LOSE,4
LUCK,4
LUGGAGE,4
MARCH-MONTH,4
MIX,4
MONTH,4
N:SIXTY-ONESIX,4
N:TWENTY-ONETWENTY,4
NAILBRUSH,4
ONCE,4
PT:LBUOYPL,4
PUT-UP-WITH,4
QUICK,4
RESPECT,4
ROAD,4
SACK,4
SAUCE,4
SEND,4
SEPARATE,4
SERVANT,4
SMOKE-CIGARETTE,4
SN:LUCYFS:L-LUCY,4
SN:SYLVIAFS:S-SYLVIA,4
SOON,4
STRESS,4
TALL,4
THOUSAND,4
TRADITION,4
TUESDAY,4
VIEW,4
WALES,4
WEAK,4
WEDNESDAY,4
WIN,4
AGAINST,3
AMERICA,3
ANYWAY,3
ATTACK,3
ATTENTION,3
AUSTRALIA,3
BATH,3
BEARD,3
BEDROOM,3
BREATHE,3
BRITAIN,3
BUSINESS,3
CHAIR,3
CHAMPION,3
CHURCH,3
CLOSE,3
CLOTHES,3
COCKTAILS,3
COME,3
COMMUNICATE,3
CRASH,3
CREATE,3
CURLING,3
DISAGREE,3
DREADFUL,3
DRUNK,3
ELEVEN,3
ENCOURAGE,3
EXACT,3
EXPAND,3
FAIL,3
FIND,3
FINGERSPELL,3
FOLLOW,3
FOR,3
FS:AUGUSTAUG,3
FS:BBC,3
FS:GAS,3
FS:INDECIPHERABLES,3
FUCK,3
FUTURE,3
G:CA:SQUEEZES-HAND-TIGHTLY,3
GREEN,3
HEAR,3
HISTORY,3
HOT,3
IDEA,3
INFORM,3
INTERVAL,3
LAST-WEEK,3
LAZY,3
LBUOY-THREE,3
MANCHESTER,3
MONDAY,3
MOVE-PIVOT,3
N:FIFTY-TWOFIVE,3
N:ONE,3
NEAR,3
NINE,3
NINETEEN,3
NOT-UNDERSTAND,3
ONE-IS-AHEAD,3
PHOTO,3
PLACE,3
PLAY,3
POINT,3
PRINT,3
PROBLEM,3
PT:BUOY,3
PT:LOCPL,3
RANKING-TWO,3
REMOVE,3
REPLACE,3
SEARCH,3
SELL,3
SERVICE,3
SEVEN,3
SEVENTEEN,3
SHOULDER,3
SHOUT,3
SKILL,3
SN:CHRISFS:C-CHRIS,3
STUPID,3
SUBTITLES,3
TAKE-OFF,3
TEA,3
THIRTEEN,3
THURSDAY,3
TITLE,3
UP,3
VERY,3
WANT-NOT,3
WASTE,3
WILL-NOT,3
WONDER,3
WORD,3
WORRY,3
YESTERDAY,3
/EMIT,2
ACCOMMODATION,2
AFFORD,2
AGE-FIFTEEN,2
AGE-SEVEN,2
AGE-TWO,2
ALWAYS,2
ANESTHETISE,2
ANNOYED,2
APRIL,2
ARABIC,2
ARMY,2
AUDIENCE,2
AVOID,2
BAD-NOT,2
BEHIND,2
BLACKPOOL,2
BOARD,2
BOOK,2
BOTTLE,2
BOWL,2
BRING,2
CALLISTHENICS,2
CARAVAN,2
CHEAT,2
CHOCOLATE,2
CLEAR,2
CLICK-MOUSE,2
COLD,2
COLLAPSE,2
COMFORTABLE,2
COMMUNICATION-BREAKDOWN,2
COMPETITION,2
COUNCIL,2
COUSIN,2
CRAZY,2
CREDIT-CARD,2
DAMN,2
DECLINE,2
DESIRE,2
DOOR,2
DREAM,2
EAGER,2
EIGHT,2
EVALUATE,2
EXCHANGE,2
EXCUSE,2
EXPERIENCE,2
EXTRACT,2
FAIRGROUND,2
FALSE,2
FEBRUARY,2
FIFTY,2
FILM,2
FISHING,2
FORWARD,2
FS:,2
FS:A-ALUMINIUM,2
FS:ABOUTBOU,2
FS:ALEX,2
FS:ANN,2
FS:B-INDECIPHERABLE,2
FS:B-UNKNOWN,2
FS:BE,2
FS:BEENBEN,2
FS:BENONE,2
FS:BLACKIE,2
FS:BLAST,2
FS:BSLBL,2
FS:C-CHANNEL,2
FS:C-INDECIPHERABLE,2
FS:DANIEL,2
FS:ELLA,2
FS:FLU,2
FS:FOR,2
FS:H-HOLLOWAY,2
FS:HUMMUS,2
FS:IF,2
FS:INDECIPHERABLE,2
FS:INDECIPHERABLEM,2
FS:INK,2
FS:JANUARYJN,2
FS:LADYLD,2
FS:MAX,2
FS:MSN,2
FS:NDCS,2
FS:NO,2
FS:NOTNN,2
FS:ON,2
FS:ORR,2
FS:P-PAGE,2
FS:P-PRAIRIE,2
FS:PUNJABIPJ,2
FS:S-SHILLING,2
FS:S-SQUATTERS,2
FS:SALT,2
FS:SATURDAYSAT,2
FS:SEA,2
FS:STOBHILLSTBHILL,2
FS:THURSDAY,2
FS:TILL,2
FS:TOYS,2
FS:UNIPHONE,2
FS:URDUURDI,2
FS:VIRUS,2
FS:VISA,2
FS:WAS,2
FS:WOOLWORTHSWOOLWORTH,2
G:CA:CAT-CLAWS-ON-NECK,2
G:CA:CAT-RESTING-ON-NECK,2
G:CA:CAT-STAYS-STILL,2
G:CA:CHECK-WATCH,2
G:CA:COOL-MOUTH,2
G:CA:HAND-OVER-OBJECT,2
G:CA:HOLD-BY-REINS,2
G:CA:MOVE-AROUND,2
G:CA:PERSON-DISORIENTATED,2
G:CA:REST-HANDS,2
G:EXCLAMATION,2
G:FUCK-OFF,2
GARDEN,2
GAY,2
GLASGOW,2
GO-DOWN,2
GO-WITH,2
GRIP,2
GROW,2
HAMSTER,2
HAVE-NOT,2
IGNORE,2
INCREASE,2
INDEPENDENT,2
INFORMATION,2
INSTANT,2
INTERVIEW,2
IRELAND,2
JOIN,2
JUDO,2
KICK,2
KILL,2
LABEL,2
LBUOY-FIVE,2
LEAGUE,2
LIE-DOWN,2
LONELY,2
MAKE-UP,2
MANY-ANIMALS,2
MARGATE,2
MARRY,2
MEETING,2
MENTION,2
MOBILE-PHONE,2
MONEY ,2
MOUSE-COMPUTER,2
N:ELEVEN,2
N:THIRTY-THREETHREE,2
NEXT ,2
NEXT-TO,2
NIGHTCLUB,2
NOTE-DOWN,2
NUDGE,2
OPEN,2
OPEN-DOOR,2
OPEN-WINDOW,2
ORAL,2
OVER,2
OVER-WORK,2
PACK,2
PARIS,2
PBUOY,2
PERMANENT,2
PILE,2
PIVOT,2
PLASTIC,2
POISON,2
POLAND,2
PRAISE,2
PREGNANCY-SCAN,2
PROJECT,2
PROUD,2
PROVIDE,2
PT:FBUOY,2
PT:POSS1PL,2
QUARTER,2
QUESTION,2
RABBIT,2
RANKING-FOUR,2
REALLY,2
RECEIVE,2
RENT,2
RESTLESS,2
SAND,2
SAUSAGE,2
SEX,2
SHIRT,2
SHIVERS,2
SHORTEN,2
SIMILAR,2
