uniquewords,Repetitions
TOWN,6
UNIVERSAL,6
VISIT,6
WALL,6
WHICH,6
ACCEPT,5
AGAINST,5
AGE-SEVEN,5
AVERAGE,5
BEAT,5
BECKON,5
BOAT,5
BRITAIN,5
BROTHER,5
CHALK,5
CHRISTMAS,5
DEBATE,5
DEBT,5
DIG,5
DUBLIN,5
EQUAL,5
FALL,5
FORGET,5
FRANCE,5
G:CA:FOLD-ARMS,5
G:EXCLAMATION,5
G:SHOO,5
G:WELL ,5
HEALTHY,5
HERD,5
HOUR,5
IMPROVE,5
INDECIPHERABLEBC,5
KICK,5
LEAVE,5
LEAVE-IT-BE,5
LEFT-SIDE,5
LOSE,5
MEAL,5
NEXT-TO,5
ON,5
OTHER,5
PANIC,5
PLEASE,5
PROBLEM,5
PROFESSIONAL,5
PT:LBUOYPL,5
PT:PROSG,5
QUEUE,5
QUICK,5
RANKING-TWO,5
SEND,5
SHOULDN,5
SIX,5
SN:BERBATOVFS:B-BERBATOV,5
SN:CHELSEAFS:C-CHELSEA,5
TAKE-OFF,5
TBUOY,5
TELEPHONE,5
TELEVISION,5
TITLE,5
TRAVEL,5
TWICE,5
UNIVERSITY,5
UP,5
VIDEO-CAMERA,5
WATER,5
WHY-NOT,5
WRITE,5
YESTERDAY,5
ALL-DAY,4
APPLE,4
APPROXIMATE,4
ASK,4
BATH,4
BEDROOM,4
BELIEVE,4
BLACK,4
BREAK,4
BRIEF,4
CAT,4
CHECK,4
CHINA,4
CLUB,4
COLLECT,4
COLOUR,4
COMPETITION,4
COUNCIL,4
CRAZY,4
DEAF-CLUB,4
DEPTH,4
DIRTY,4
DIVIDE,4
DOLPHIN,4
DON,4
DRAW,4
DREADFUL,4
DROP,4
EACH,4
EIGHTEEN,4
ELEVEN,4
EMIT,4
EXCHANGE,4
EXCLUDE,4
EXTRACT,4
FBUOY,4
FILM,4
FS:B-BUTLINS,4
FS:BUSBS,4
FS:BUT,4
FS:DAY,4
FS:DEVON,4
FS:G-GOAL,4
FS:GCE,4
FS:GK,4
FS:H-HENRY,4
FS:INTERIM,4
FS:J-JANUARY,4
FS:LYME,4
FS:MELA,4
FS:NOVEMBERNN,4
FS:P-PLYMOUTH,4
FS:S-SOUTHAMPTON,4
FS:SECRETARYSC,4
FS:THURSDAYTH,4
FS:W-WEBSTER,4
G:CA:ARM,4
G:CA:CLAWS-POISED,4
G:CA:FOSSILS,4
G:CA:HOLD-PAINT-TIN,4
G:CA:OPEN-DOOR,4
G:CA:SIT-BACK,4
G:CA:STICKY-SUBSTANCE-ON-HANDS,4
G:CA:THROW-BALL,4
G:EXCLAIMATION,4
G:FUCK-OFF,4
GROW-UP,4
HATE,4
HOW-MANY,4
IMPORTANT,4
INJECTION,4
KILL,4
